,descrizione,numero
0,Laurea in lettere antiche; Studentessa,1
1,Laurea in scienze economiche e politica fiscale; economista,4
2,"Diploma universitario di assistenza sociale; già assistente sociale, già funzionario regione Puglia, osservatore mercato del lavoro, già docente scuola superiore per assistenti sociali ed educatori professionali",3
3,Laurea in medicina; psicanalista.,1
4,"Laurea in giurisprudenza; Avvocato, Assessore comunale",1
5,Laurea in scienze motorie; Dirigente scolastico.,1
6,"Laurea in giurisprudenza; avvocato patrocinante in cassazione, professore universitario",1
7,"Laurea in giurisprudenza, Corsi e scritti di specializzazione e approfondimenti; Funzionario, dipendente pubblico",1
8,Diploma di liceo scientifico; Dipendente di partito o gruppo politico,1
9,laurea in lettere;insegnante,3
10,Laurea in pedagogia; funzionaria di partito,2
11,Insegnante.,19
12,Laurea magistrale; Insegnante in pensione,1
13,"Laurea in giurisprudenza, Diploma di specializzazione per le professioni legali; Avvocato",1
14,"Laurea in filosofia, spec. successive all'estero; economista",3
15,Laurea in scienze politiche; Dipendente,1
16,Istituto magistrale; dipendente pubblico - operaio,1
17,Laurea in psicologia; Dirigente,1
18,Laurea in lingue e letterature moderne euroamericane; Disoccupata,1
19,Laurea in giurisprudenza; Dipendente di azienda bancaria,1
20,Laurea in scienze politiche; consulente aziendale,1
21,Laurea in lettere; docente scuola media superiore,3
22,"Laurea  triennale in economia e commercio, Laurea magistrale in economia e gestione delle aziende e dei sistemi turistici",1
23,Dottorato di ricerca; Avvocato penalista,1
24,"Laurea in giurisprudenza; avvocato, patrocinante in Cassazione",2
25,DOTTORATO DI RICERCA IN SCIENZE STATISTICHE; ASSISTENTE STATISTICA PRESSO LA COMMISSIONE EUROPEA,1
26,"Laurea in scienze politiche; Imprenditore agricolo, Dipendente di azienda privata",3
27,Laurea in filosofia; consulente,3
28,"Laurea in economia e gestione delle imprese turistiche, Abilitazione all'esercizio della professione di direttore tecnico di agenzia viaggi e turismo;  Direttore tecnico di agenzia viaggi",1
29,"Diploma di scuola magistrale; Presidente della fondazione Marisa Bellisario, Giornalista, Direttore",1
30,Laurea in economia e commercio; Dirigente scolastico,1
31,"Laurea in giurisprudenza, Scuola di formazione per Amministratore Giudiziario; Avvocato civilista; Cassazionista; Amministratore Giudiziario",1
32,Diploma magistrale; impiegata.,6
33,"Laurea in scienze politiche, Dottorato di ricerca in economia del lavoro;",1
34,Laurea in lingue e letterature straniere; Dirigente scolastico,1
35,Laurea in lingue e letterature straniere; impiegata.,2
36,Laurea in scienze della comunicazione;  Giornalista professionista,1
37,"Diploma di perito aziendale corrispondente lingue estere; Assessore Regione Lombardia con delega alla sicurezza, protezione civile e immigrazione",1
38,laurea in giurisprudenza;magistrato,4
39,Laurea in lettere classiche; Giornalista professionista e imprenditrice settore comunicazione,1
40,Diploma di liceo linguistico; Giornalista,3
41,Laurea in lettere,1
42,Laurea in scienze politiche; ricercatore universitario,4
43,Laurea in scienze dell'educazione e della formazione; Dipendente pubblico,1
44,Laurea in giurisprudenza; insegnante,1
45,"Laurea in giurisprudenza, Master in politica internazionale",1
46,Laurea in filosofia; Dirigente del settore culturale,2
47,"Laurea in economia e commercio, Master in marketing; Parlamentare",2
48,Laurea in filosfia; insegnante.,1
49,Laurea in scienze economico-aziendali; Dipendente di azienda privata in ambito commerciale,1
50,Laurea in lettere; funzionario di azienda privata,2
51,Laurea in giurisprudenza; Dipendente di azienda privata,1
52,Diploma di scuola magistrale; Insegnante,1
53,Laurea in giurisprudenza;  Magistrato militare di tribunale,1
