legislatura,female,male,Totale
Costituente,21,560,581
Legislatura I,45,568,613
Legislatura II,34,582,616
Legislatura III,25,598,623
Legislatura IV,29,644,673
Legislatura V,18,641,659
Legislatura VI,26,633,659
Legislatura VII,55,598,653
Legislatura VII,58,619,677
Legislatura VIII,55,621,676
Legislatura IX,83,597,680
Legislatura X,53,600,653
Legislatura XI,98,541,639
Legislatura XIII,74,578,652
Legislatura XIV,74,571,645
Legislatura XV,112,538,650
Legislatura XVI,140,543,683
Legislatura XVII,206,466,672
Legislatura XVIII,240,420,660
Legislatura IX,129,271,400
