nome,cognome,gender,legislatura
MARIA MADDALENA,ROSSI,female,http://dati.camera.it/ocd/legislatura.rdf/costituente
VITTORIA,TITOMANLIO,female,http://dati.camera.it/ocd/legislatura.rdf/costituente
MARIA,JERVOLINO,female,http://dati.camera.it/ocd/legislatura.rdf/costituente
ROMANA,BIANCHI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
EMMA,BONINO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
EMMA,BONINO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
EMMA,BONINO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
EMMA,BONINO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
LUCIANA,CASTELLINA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
PAOLA,CAVIGLIASSO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
ADELE,FACCIO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
TERESA,MATTEI,female,http://dati.camera.it/ocd/legislatura.rdf/costituente
ANGIOLA,MINELLA,female,http://dati.camera.it/ocd/legislatura.rdf/costituente
MARGHERITA,BONIVER,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
MARGHERITA,BONIVER,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
MARGHERITA,BONIVER,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
CARLA,CASTELLANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
CARLA,CASTELLANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
CARLA,CASTELLANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
EDDA,FAGNI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
CARLA,ROCCHI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
MARIA ANTONIETTA,SARTORI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
MARIA GRAZIA,SILIQUINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
MARIA GRAZIA,SILIQUINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
MARIA ADELAIDE,AGLIETTA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
ANGELA,FRANCESE,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
MARIAPIA,GARAVAGLIA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
MARIAPIA,GARAVAGLIA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
ROSSELLA,ARTIOLI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
ROSSELLA,ARTIOLI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
LAURA,BALBO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
FLORA,CALVANESE,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
MARIA TERESA,CAPECCHI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
