d,cognome,nome,legislatura,gruppoParlamentare
http://dati.camera.it/ocd/deputato.rdf/d307105_18,TRIPODI,ELISA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d307105_18,TRIPODI,ELISA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d307105_18,TRIPODI,ELISA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,DELEGATO D'AULA
http://dati.camera.it/ocd/deputato.rdf/d307107_18,LAPIA,MARA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
http://dati.camera.it/ocd/deputato.rdf/d307107_18,LAPIA,MARA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d307123_18,SURIANO,SIMONA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
http://dati.camera.it/ocd/deputato.rdf/d307123_18,SURIANO,SIMONA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d306071_18,GRILLO,GIULIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,PRESIDENTE - PORTAVOCE
http://dati.camera.it/ocd/deputato.rdf/d10090_0,ROSSI,MARIA MADDALENA,http://dati.camera.it/ocd/legislatura.rdf/costituente,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d10090_1,ROSSI,MARIA MADDALENA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d10090_2,ROSSI,MARIA MADDALENA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d10260_2,SAVIO,EMANUELA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d10830_3,VIVIANI,LUCIANA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d14680_9,BIANCHI,ROMANA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d14710_7,BONINO,EMMA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d14710_7,BONINO,EMMA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d14710_8,BONINO,EMMA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d14710_8,BONINO,EMMA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d15000_7,CASTELLINA,LUCIANA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d15000_7,CASTELLINA,LUCIANA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d15430_7,FACCIO,ADELE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d15430_7,FACCIO,ADELE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d15650_7,GRANATI,MARIA TERESA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d16380_7,PALOMBY,ADRIANA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d1650_8,CHIOVINI,CECILIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d1740_4,COCCO,MARIA GIULIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d1740_5,COCCO,MARIA GIULIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d18240_4,CINCIARI,MARIA LISA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d19800_4,ROSSANDA,ROSSANA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d200103_15,BONIVER,MARGHERITA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,CONSIGLIERE
http://dati.camera.it/ocd/deputato.rdf/d200359_10,FAGNI,EDDA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d200813_14,ROCCHI,CARLA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d200888_16,SILIQUINI,MARIA GRAZIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d20390_7,GALLI,MARIA LUISA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d20420_10,AGLIETTA,MARIA ADELAIDE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d20420_8,AGLIETTA,MARIA ADELAIDE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d21300_11,GARAVAGLIA,MARIAPIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d22660_9,ARTIOLI,ROSSELLA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d22710_10,BALBO,LAURA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d22970_9,CAPECCHI,MARIA TERESA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d24080_10,NENNA,ANNA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d24080_11,NENNA,ANNA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d24180_10,PEDRAZZI,ANNA MARIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d25080_11,COSTA,SILVIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d25130_11,BREDA,ROBERTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,SEGRETARIO AMM.
http://dati.camera.it/ocd/deputato.rdf/d25160_14,MONTECCHI,ELENA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d25160_14,MONTECCHI,ELENA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d25630_1,CONCI,ELISABETTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
