,graduated,gender
0,yes,female
1,yes,female
2,yes,female
3,yes,female
4,yes,female
5,yes,female
6,yes,female
7,yes,female
8,yes,female
10,yes,female
12,yes,female
13,yes,female
15,yes,female
16,yes,female
17,yes,female
18,yes,female
19,yes,female
20,yes,female
21,yes,female
22,yes,female
23,yes,female
24,yes,female
25,yes,female
26,yes,female
27,yes,female
28,yes,female
29,yes,female
30,yes,female
31,yes,female
32,yes,female
33,yes,female
34,yes,female
35,yes,female
36,yes,female
37,yes,female
39,yes,female
41,yes,female
43,yes,female
44,yes,female
46,yes,female
48,yes,female
49,yes,female
52,yes,female
54,yes,female
55,yes,female
56,yes,female
58,yes,female
59,yes,female
60,yes,female
61,yes,female
63,yes,female
65,yes,female
66,yes,female
67,yes,female
68,yes,female
69,yes,female
70,yes,female
71,yes,female
72,yes,female
73,yes,female
75,yes,female
77,yes,female
79,yes,female
81,yes,female
83,yes,female
85,yes,female
87,yes,female
89,yes,female
90,yes,female
92,yes,female
95,yes,female
97,yes,female
98,yes,female
100,yes,female
101,yes,female
102,yes,female
103,yes,female
104,yes,female
105,yes,female
106,yes,female
107,yes,female
108,yes,female
109,yes,female
110,yes,female
111,yes,female
112,yes,female
113,yes,female
114,yes,female
115,yes,female
116,yes,female
117,yes,female
118,yes,female
119,yes,female
120,yes,female
121,yes,female
122,yes,female
123,yes,female
124,yes,female
125,yes,female
126,yes,female
127,yes,female
128,yes,female
129,yes,female
130,yes,female
131,yes,female
132,yes,female
133,yes,female
134,yes,female
135,yes,female
136,yes,female
137,yes,female
138,yes,female
139,yes,female
140,yes,female
141,yes,female
142,yes,female
143,yes,female
144,yes,female
145,yes,female
146,yes,female
147,yes,female
148,yes,female
149,yes,female
150,yes,female
151,yes,female
152,yes,female
153,yes,female
154,yes,female
155,yes,female
156,yes,female
157,yes,female
158,yes,female
159,yes,female
163,yes,female
164,yes,female
166,yes,female
167,yes,female
168,yes,female
169,yes,female
170,yes,female
172,yes,female
173,yes,female
175,yes,female
176,yes,female
177,yes,female
178,yes,female
180,yes,female
182,yes,female
183,yes,female
184,yes,female
186,yes,female
187,yes,female
188,yes,female
189,yes,female
190,yes,female
192,yes,female
193,yes,female
194,yes,female
195,yes,female
196,yes,female
197,yes,female
198,yes,female
199,yes,female
200,yes,female
201,yes,female
202,yes,female
203,yes,female
204,yes,female
205,yes,female
206,yes,female
207,yes,female
208,yes,female
209,yes,female
210,yes,female
211,yes,female
212,yes,female
213,yes,female
214,yes,female
215,yes,female
216,yes,female
217,yes,female
218,yes,female
219,yes,female
220,yes,female
221,yes,female
222,yes,female
223,yes,female
224,yes,female
225,yes,female
226,yes,female
227,yes,female
228,yes,female
229,yes,female
230,yes,female
231,yes,female
232,yes,female
233,yes,female
234,yes,female
235,yes,female
236,yes,female
237,yes,female
238,yes,female
239,yes,female
240,yes,female
241,yes,female
242,yes,female
243,yes,female
244,yes,female
245,yes,female
246,yes,female
247,yes,female
248,yes,female
249,yes,female
250,yes,female
251,yes,female
252,yes,female
253,yes,female
254,yes,female
255,yes,female
256,yes,female
257,yes,female
258,yes,female
259,yes,female
260,yes,female
261,yes,female
262,yes,female
263,yes,female
264,yes,female
265,yes,female
266,yes,female
267,yes,female
268,yes,female
269,yes,female
270,yes,female
271,yes,female
272,yes,female
273,yes,female
274,yes,female
280,yes,female
295,yes,female
296,yes,female
297,yes,female
298,yes,female
300,yes,female
302,yes,female
303,yes,female
305,yes,female
307,yes,female
308,yes,female
309,yes,female
310,yes,female
311,yes,female
312,yes,female
314,yes,female
315,yes,female
317,yes,female
319,yes,female
321,yes,female
323,yes,female
325,yes,female
326,yes,female
327,yes,female
328,yes,female
330,yes,female
331,yes,female
332,yes,female
333,yes,female
334,yes,female
335,yes,female
336,yes,female
337,yes,female
338,yes,female
339,yes,female
340,yes,female
341,yes,female
342,yes,female
343,yes,female
344,yes,female
345,yes,female
346,yes,female
347,yes,female
348,yes,female
349,yes,female
350,yes,female
351,yes,female
352,yes,female
353,yes,female
354,yes,female
355,yes,female
356,yes,female
357,yes,female
358,yes,female
359,yes,female
360,yes,female
361,yes,female
362,yes,female
363,yes,female
364,yes,female
365,yes,female
366,yes,female
367,yes,female
369,yes,female
370,yes,female
371,yes,female
372,yes,female
373,yes,female
374,yes,female
375,yes,female
376,yes,female
377,yes,female
378,yes,female
379,yes,female
380,yes,female
381,yes,female
382,yes,female
383,yes,female
384,yes,female
385,yes,female
386,yes,female
387,yes,female
388,yes,female
389,yes,female
390,yes,female
391,yes,female
392,yes,female
393,yes,female
394,yes,female
395,yes,female
396,yes,female
397,yes,female
398,yes,female
399,yes,female
401,yes,female
402,yes,female
403,yes,female
404,yes,female
405,yes,female
406,yes,female
407,yes,female
408,yes,female
409,yes,female
410,yes,female
411,yes,female
412,yes,female
413,yes,female
414,yes,female
415,yes,female
416,yes,female
417,yes,female
418,yes,female
419,yes,female
420,yes,female
421,yes,female
422,yes,female
423,yes,female
424,yes,female
425,yes,female
426,yes,female
435,yes,female
436,yes,female
437,yes,female
438,yes,female
440,yes,female
442,yes,female
443,yes,female
444,yes,female
445,yes,female
446,yes,female
447,yes,female
448,yes,female
449,yes,female
452,yes,female
453,yes,female
454,yes,female
455,yes,female
456,yes,female
457,yes,female
458,yes,female
459,yes,female
460,yes,female
462,yes,female
463,yes,female
464,yes,female
465,yes,female
466,yes,female
467,yes,female
468,yes,female
469,yes,female
470,yes,female
471,yes,female
472,yes,female
473,yes,female
475,yes,female
476,yes,female
477,yes,female
478,yes,female
479,yes,female
480,yes,female
481,yes,female
482,yes,female
483,yes,female
484,yes,female
485,yes,female
486,yes,female
487,yes,female
488,yes,female
489,yes,female
490,yes,female
491,yes,female
492,yes,female
493,yes,female
495,yes,female
496,yes,female
497,yes,female
498,yes,female
499,yes,female
501,yes,female
503,yes,female
504,yes,female
506,yes,female
507,yes,female
508,yes,female
509,yes,female
510,yes,female
511,yes,female
512,yes,female
513,yes,female
514,yes,female
515,yes,female
517,yes,female
518,yes,female
519,yes,female
520,yes,female
521,yes,female
522,yes,female
523,yes,female
524,yes,female
525,yes,female
526,yes,female
527,yes,female
528,yes,female
529,yes,female
530,yes,female
531,yes,female
532,yes,female
533,yes,female
534,yes,female
535,yes,female
536,yes,female
538,yes,female
539,yes,female
540,yes,female
541,yes,female
542,yes,female
543,yes,female
544,yes,female
545,yes,female
546,yes,female
547,yes,female
549,yes,female
550,yes,female
551,yes,female
552,yes,female
553,yes,female
554,yes,female
555,yes,female
556,yes,female
557,yes,female
558,yes,female
559,yes,female
560,yes,female
561,yes,female
562,yes,female
563,yes,female
564,yes,female
565,yes,female
566,yes,female
567,yes,female
568,yes,female
569,yes,female
570,yes,female
571,yes,female
572,yes,female
573,yes,female
574,yes,female
575,yes,female
576,yes,female
577,yes,female
578,yes,female
579,yes,female
580,yes,female
581,yes,female
582,yes,female
583,yes,female
584,yes,female
585,yes,female
586,yes,female
587,yes,female
588,yes,female
589,yes,female
590,yes,female
591,yes,female
592,yes,female
593,yes,female
594,yes,female
595,yes,female
596,yes,female
597,yes,female
598,yes,female
599,yes,female
600,yes,female
601,yes,female
602,yes,female
603,yes,female
604,yes,female
605,yes,female
606,yes,female
607,yes,female
608,yes,female
609,yes,female
610,yes,female
611,yes,female
612,yes,female
613,yes,female
614,yes,female
615,yes,female
616,yes,female
617,yes,female
