Persona,gender,graduated
Domenico_Modugno,male,no
Giovanni_Donzelli,male,no
Stefano_Boco,male,no
Alberto_Monaci,male,no
Renzo_Pascolat,male,no
Paolo_Fontanelli,male,no
Giorgio_Airaudo,male,no
Virginio_Scotti,male,no
Ambrogio_Viviani,male,no
Nicola_Stumpo,male,no
Cesare_De_Piccoli,male,no
Michele_Gubitosa,male,no
Marco_Grimaldi,male,no
Giovanni_Vianello,male,no
Sergio_Vallotto,male,no
Alessandro_Morelli,male,no
Gianangelo_Bof,male,no
Mario_Ricci,male,no
Achille_Rigamonti,male,no
Arturo_Rognoni,male,no
Gianfranco_Aliverti,male,no
Paolo_Mario_Rossi,male,no
Armando_Sabatini,male,no
Dino_Saccenti,male,no
Raffaello_Salutari,male,no
Vito_Scarongella,male,no
Secondo_Tranquilli,male,no
Giovanni_Sodano,male,no
Odo_Spadazzi,male,no
Achille_Stuani,male,no
Egidio_Sulotto,male,no
Paolo_Suraci,male,no
Leonildo_Tarozzi,male,no
Mauro_Tognoni,male,no
Giuseppe_Tudisco,male,no
Giuseppe_Botta,male,no
Carlo_Eugenio_Venegoni,male,no
Vittorino_Villani,male,no
Felice_Vischioni,male,no
Riccardo_Walter,male,no
Fulvio_Zamponi,male,no
Domenico_Leccisi,male,no
Giuseppe_Latorre,male,no
Mario_Angelucci,male,no
Ennio_De_Biagi,male,no
Edoardo_D'onofrio,male,no
Carlo_Farini,male,no
Bortolo_Eugenio_Fina,male,no
Dante_Bernamonti,male,no
Salvatore_Angelo_Gitti,male,no
Priamo_Bigiandi,male,no
Natale_Vasco_Jacoponi,male,no
Luciano_Magrini,male,no
Luigi_Zappelli,male,no
Alcide_Pirazzi_Maffiola,male,no
Carlo_Cibotto,male,no
Luigi_Vallone,male,no
Enrico_Minio,male,no
Arturo_Burato,male,no
Verenin_Grazia,male,no
Alessandro_Scotti,male,no
Giulio_Pastore,male,no
Giovanni_Gasparoli,male,no
Pietro_Buffone,male,no
Gaetano_Invernizzi,male,no
Luciano_Cadeddu,male,no
Andrea_Giarrizzo,male,no
Bernardo_Marino,male,no
Luigi_Borghi,male,no
Giuseppe_Sacchi,male,no
Carlo_Borra,male,no
Giovanni_Bortot,male,no
Elvo_Tempia_Valenta,male,no
Pietro_Valeggiani,male,no
Carlo_Bottari,male,no
Giuseppe_Avolio,male,no
Oddino_Bo,male,no
Angelo_Cucchi,male,no
Eliseo_Milani,male,no
Vittorio_Cecati,male,no
Spartaco_Beragnoli,male,no
Alfonso_Cerreti,male,no
Archimede_Taverna,male,no
Federico_Brini,male,no
Pietro_Ludovico_Vergani,male,no
Pietro_Bruschi,male,no
Aldo_Arzilli,male,no
Giuseppe_Antonio_Bottaro,male,no
Giulio_Perugi,male,no
Filippo_Barattolo,male,no
Pietro_Pressinotti,male,no
Matteo_Tonengo,male,no
Giuseppe_Babbi,male,no
Cesare_Curcio,male,no
Santo_Filippo_Neri_Semeraro,male,no
Angelo_Priore,male,no
Olindo_Cremaschi,male,no
Alberto_Simonini,male,no
Giulio_Turchi,male,no
Vincenzo_Tieri,male,no
Piero_Malvestiti,male,no
Renato_Tega,male,no
Ezio_Villani,male,no
Arnaldo_Azzi,male,no
Umberto_Sannicolo',male,no
Oreste_Bonomelli,male,no
Aldovino_Fora,male,no
Alfredo_Cotani,male,no
Antonio_Di_Donato,male,no
Bruto_Puccetti,male,no
Fiorenzo_Cimenti,male,no
Fernando_Santi,male,no
Giuseppe_Ricci,male,no
Alberto_Consiglio,male,no
Quinto_Bucci,male,no
Guido_Mazzali,male,no
Emilio_Zannerini,male,no
Pietro_Reali,male,no
Otello_Magnani,male,no
Celeste_Carlo_Negarville,male,no
Vittorio_Ghidetti,male,no
Luigi_Allegato,male,no
Luigi_Morelli,male,no
Antonio_Luigi_Lombardini,male,no
Federico_Torretta,male,no
Michele_Sala,male,no
Francesco_Saija,male,no
Pietro_Mentasti,male,no
Bruno_Castellarin,male,no
Carlo_Repossi,male,no
Giordano_Pratolongo,male,no
Giuseppe_Dozza,male,no
Domenico_Ciufoli,male,no
Chiaffredo_Belliardi,male,no
Aldo_Maina,male,no
Piergiorgio_Allera,male,no
Giovanni_De_Lorenzo,male,no
Alfredo_De_Polzer,male,no
Giuseppe_Terragni,male,no
Natale_Di_Piazza,male,no
