Persona,gender,graduated
Marisa_Bonfatti_Paini,female,NaN
Natia_Mammone,female,NaN
Elena_Donazzan,female,NaN
Roberta_Pinto,female,NaN
Daniela_Romani,female,NaN
Maria_Galli,female,NaN
Anna_Maria_De_Luca,female,NaN
Ida_Matarazzo,female,NaN
Patrizia_Arnaboldi,female,NaN
Renata_Marchionni_Zanchi,female,NaN
Franca_Bassi,female,NaN
Francesca_Gerardi,female,NaN
Anna_Milva_Boselli,female,NaN
Olga_Giannini,female,NaN
Ottavia_Penna_Buscemi,female,NaN
Marilena_Parenti,female,NaN
Cristina_Bevilacqua,female,NaN
Veronica_Giannone,male,no
Leda_Colombini,male,no
Giuseppina_Bertone,male,no
Michela_Vittoria_Brambilla,male,no
Chiara_Colosimo,male,no
Anna_Lucia_Lisa_Pannarale,male,no
Vittoria_Titomanlio,female,no
Romana_Bianchi,female,no
Carla_Rocchi,female,no
Maria_Antonietta_Sartori,female,no
Maria_Adelaide_Aglietta,female,no
Angela_Francese,female,no
Rossella_Artioli,female,no
Maria_Teresa_Capecchi,female,no
Giovanna_Filippini,female,no
Natalia_Levi,female,no
Anna_Mainardi_Fava,female,no
Teresa_Migliasso,female,no
Rosanna_Minozzi,female,no
Nanda_Montanari_Fornari,female,no
Anna_Maria_Pedrazzi,female,no
Neide_Umidi,female,no
Roberta_Breda,female,no
Elena_Montecchi,female,no
Liliana_Albertini,female,no
Elisabetta_Di_Prisco,female,no
Anna_Donati,female,no
Rosa_Filippini,female,no
Marina_Sereni,female,no
Rosella_Ottone,female,no
Lorena_Milanato,female,no
Viviana_Beccalossi,female,no
Olga_Di_Serio,female,no
Margherita_Coluccini,female,no
Katia_Zanotti,female,no
Graziella_Mascia,female,no
Caterina_De_Simone,female,no
Carla_Mazzuca,female,no
Marilde_Provera,female,no
Manuela_Di_Centa,female,no
Emilia_Grazia_De_Biasi,female,no
Stefania_Gabriella_Anastasia_Craxi,female,no
Flavia_Perina,female,no
Giuseppina_Fasciani,female,no
Marisa_Nicchi,female,no
Maria_Emilia_Intrieri,female,no
Elisa_Tripodi,female,no
Marialucia_Lorefice,female,no
Maria_Marzana,female,no
Stella_Vecchio,female,no
Dolores_Abbiati,female,no
Carla_Capponi_Bentivegna,female,no
Carmen_Casapieri,female,no
Eletta_Bertani,female,no
Angela_Maria_Bottari,female,no
Maria_Luigia_Buro,female,no
Amelia_Casadei,female,no
Maria_Cocco,female,no
Cristina_Conchiglia,female,no
Nadia_Corradi,female,no
Angela_Giovagnoli,female,no
Enza_Marchi,female,no
Cecilia_Chiovini,female,no
Angela_Maria_Rosolen,female,no
Milena_Sarri,female,no
Anna_Maria_Ciai,female,no
Maria_Lisa_Cinciari,female,no
Ilia_Coppi,female,no
Ada_Del_Vecchio,female,no
Baldina_Di_Vittorio_Berti,female,no
Elisabetta_Gallo,female,no
Maria_Miccolis,female,no
Giuliana_Nenni,female,no
Carmen_Paola_Zanti,female,no
Piera_Bonetti,female,no
Paola_Buttazzoni,female,no
Lucia_Cominato,female,no
Rosalba_Molineri,female,no
Maria_Santa_Piccoli,female,no
Ivanne_Trebbi,female,no
Carla_Gravina,female,no
Rosella_Palmini,female,no
Maria_Chiara_Rosso,female,no
Malgari_Amadei,female,no
Maria_Teresa_Di_Lascia,female,no
Giulietta_Fibbi,female,no
Luciana_Fittaioli,female,no
Erisia_Gennai_Tonietti,female,no
Nella_Marcellino_Colombi,female,no
Maddalena_Perquis_Moretti,female,no
Susanna_Agnelli,female,no
Elisabetta_Rampi,female,no
Silvana_Mura,female,no
Elisabetta_Gardini,female,no
Teresa_Bellanova,female,no
Donatella_Duranti,female,no
Paola_Pelino,female,no
Donatella_Poretti,female,no
Rosalba_Cesini,female,no
Fiorella_Ceccacci,female,no
Giorgia_Meloni,female,no
Lucia_Codurelli,female,no
Michaela_Biancofiore,female,no
Mariella_Bocciardo,female,no
Giustina_Mistrello,female,no
Laura_Molteni,female,no
Erica_Rivolta,female,no
Beatrice_Lorenzin,female,no
Manuela_Lanzarin,female,no
Emanuela_Munerato,female,no
Anna_Margherita_Miotto,female,no
Daniela_Sbrollini,female,no
Anna_Sanna,female,no
Gianna_Serra,female,no
Giovanna_Maria_Tealdi,female,no
Livia_Turco,female,no
Elisabetta_Bertotti,female,no
Maura_Camoirano,female,no
Alda_Grassi,female,no
Tiziana_Maiolo,female,no
Alfonsina_Rinaldi,female,no
Adriana_Lodi,female,no
Angela_Bellei_Trenti,female,no
Emanuela_Cabrini,female,no
Mariella_Maria_Rita_Cavanna_Scirea,female,no
Francesca_Chiavacci,female,no
Elena_Emma_Cordoni,female,no
Daniela_Lauber,female,no
Rosaria_Lopedote,female,no
Maria_Mafai,female,no
Paola_Manzini,female,no
Paola_Mariani,female,no
Delia_Murer,female,no
Donella_Mattesini,female,no
Marialuisa_Gnecchi,female,no
Consolata_Golfo,female,no
Barbara_Saltamartini,female,no
Rita_Bernardini,female,no
Maria_Antonietta_Farina,female,no
Susanna_Cenni,female,no
Mariarosaria_Rossi,female,no
Giovanna_Negro,female,no
Maria_Antezza,female,no
Franca_Maria_Grazia_Biondelli,female,no
Tamara_Blazina,female,no
Tea_Albini,female,no
Sabina_Fabi,female,no
Tatiana_Basilio,female,no
Laura_Castelli,female,no
Eleonora_Bechis,female,no
Marina_Berlinghieri,female,no
Gessica_Rostellato,female,no
Giovanna_Martelli,female,no
Floriana_Casellato,female,no
Sandra_Savino,female,no
Roberta_Oliaro,female,no
Patrizia_Maestri,female,no
Maria_Valentina_Vezzali,female,no
Renata_Polverini,female,no
Federica_Daga,female,no
Carla_Ruocco,female,no
Micaela_Campana,female,no
Monica_Gregori,female,no
Vega_Colonnese,female,no
Cecilia_Ventricelli,female,no
Silvia_Giordano,female,no
Elisa_Mariano,female,no
Vanna_Iori,female,no
Irene_Tinagli,female,no
Chiara_Gribaudo,female,no
Emanuela_Corda,female,no
Chiara_Di_Benedetto,female,no
Azzurra_Pia_Maria_Cancelleri,female,no
Luisella_Albanella,female,no
Rosanna_Scopelliti,female,no
Martina_Nardi,female,no
Daniela_Matilde_Maria_Gasparini,female,no
Renata_Bueno,female,no
Angela_Nissoli,female,no
Maria_Iacono,female,no
Maruzza_Astolfi,female,no
Franca_Maria_Marino_Buccellato,female,no
Maria_Cristina_Matranga,female,no
Rosanna_Moroni,female,no
Maria_Gabriella_Pinto,female,no
Elisa_Pozza_Tasca,female,no
Antonietta_Rizza,female,no
Tomasa_Salvo,female,no
Giuseppina_Servodio,female,no
Carla_Stampacchia,female,no
Rosa_Stanisci,female,no
Antonietta_Vascon,female,no
Tiziana_Valpiana,female,no
Ombretta_Comelli,female,no
Patrizia_Toia,female,no
Maria_Agostina_Pellegatta,female,no
Elena_Ciapusci,female,no
Argia_Valeria_Albanese,female,no
Franca_Gambato,female,no
Assunta_Malavenda,female,no
Daniela_Santandrea,female,no
Emiliana_Santoli,female,no
Marisa_Abbondanzieri,female,no
Luciana_Sgarbi_Bompani,female,no
Renata_Talassi_Giorgi,female,no
Emilia_Calini,female,no
Maria_Alessi,female,no
Maria_Badaloni,female,no
Ernesta_Belussi,female,no
Adele_Bei,female,no
Maria_Bernetic,female,no
Maria_Bianchi,female,no
Margherita_Bontade,female,no
Gina_Borellini,female,no
Laura_Diaz,female,no
Gisella_Floreanini,female,no
Nadia_Gallico,female,no
Nives_Gessi,female,no
Pia_Lombardi,female,no
Ines_Boffardi,female,no
Angelina_Merlin,female,no
Rita_Montagnana,female,no
Maria_Nicotra,female,no
Teresa_Noce,female,no
Elettra_Pollastrini,female,no
Camilla_Ravera,female,no
Giuseppina_Re,female,no
Vittoria_Baldino,female,no
Monica_Ciaburro,female,no
Pasqua_L'abbate,female,no
Elena_Bonetti,female,no
Vannia_Gava,female,no
Rita_Dalla_Chiesa,female,no
Federica_Onori,female,no
Carmela_Di_Lauro,female,no
Daniela_Morfino,female,no
Rachele_Silvestri,female,no
Barbara_Polo,female,no
Tiziana_Nisini,female,no
Immacolata_Zurzolo,female,no
Silvana_Snider,female,no
Anna_Maria_Carloni,female,no
Sara_Foscolo,female,no
Rosalba_De_Giorgi,female,no
Francesca_Anna_Ruggiero,female,no
Iolanda_Di_Stasio,female,no
Sabrina_De_Carlo,female,no
Sara_De_Angelis,female,no
Carmela_Grippa,female,no
Elisabetta_Ripani,female,no
Carla_Cantone,female,no
Doriana_Sarli,female,no
Silvana_Nappi,female,no
Carla_Giuliano,female,no
Erica_Mazzetti,female,no
Maria_Soave_Alemanno,female,no
Emanuela_Claudia_Del_Re,female,no
Teresa_Manzo,female,no
Laura_Cavandoli,female,no
Antonella_Papiro,female,no
Raffaella_Paita,female,no
Marica_Fantuz,female,no
Giuseppina_Versace,female,no
Cristina_Patelli,female,no
Ketty_Fogliani,female,no
Maria_Cristina_Caretta,female,no
Eva_Lorenzoni,female,no
Arianna_Lazzarini,female,no
Daniela_Ruffino,female,no
Patrizia_Marrocco,female,no
Simona_Bordonali,female,no
Antonietta_Giacometti,female,no
Anna_Lisa_Baroni,female,no
Iolanda_Nanni,female,no
Claudia_Gobbato,female,no
Stefania_Segnana,female,no
Vania_Valbusa,female,no
Celeste_D'arrando,female,no
Chiara_Tenerini,female,no
Marina_Marchetto,female,no
Elisa_Montemagni,female,no
Chiara_La_Porta,female,no
Francesca_Ghirra,female,no
Maria_Grazia_Frijia,female,no
Maria_Immacolata_Vietri,female,no
Maria_Cecilia_Guerra,female,no
Enrica_Alifano,female,no
Marianna_Ricciardi,female,no
Laura_Cantini,female,no
Valentina_La_Terza,female,no
Tiziana_Piccolo,female,no
Marina_Romano',female,no
Emma_Pavanelli,female,no
Silvia_Barbieri,female,no
Maria_Teresa_Grosso,female,no
Elena_Anna_Staller,female,no
Maria_Taddei,female,no
Luana_Angeloni,female,no
Ivana_Pellegatti,female,no
Luigia_Cordati,female,no
Luigina_Bernocco,male,yes
Laura_Conti,male,yes
Dalila_Nesci,male,yes
Cristiana_Muscardini,male,yes
Annalisa_Diaz,male,yes
Silvana_Fachin,male,yes
Mariella_Gramaglia,male,yes
Bianca_Guidetti_Serra,male,yes
Giovanbattista_Davoli,male,yes
Nicoletta_Orlandi,male,yes
Michela_Di_Biase,male,yes
Aurelia_Bubisutti,male,yes
Agata_Lucia_Alma_Cappiello,male,yes
Gigliola_Lo_Cascio,male,yes
Alessandra_Cecchetto,male,yes
Simona_Bonafe',male,yes
Maria_Maddalena_Rossi,female,yes
Maria_Jervolino,female,yes
Emma_Bonino,female,yes
Luciana_Castellina,female,yes
Paola_Cavigliasso,female,yes
Adele_Faccio,female,yes
Teresa_Mattei,female,yes
Angiola_Minella,female,yes
Margherita_Boniver,female,yes
Carla_Castellani,female,yes
Edda_Fagni,female,yes
Maria_Grazia_Siliquini,female,yes
Mariapia_Garavaglia,female,yes
Laura_Balbo,female,yes
Flora_Calvanese,female,yes
Adriana_Ceci,female,yes
Vanda_Dignani,female,yes
Laura_Fincato,female,yes
Bianca_Gelli,female,yes
Anna_Nenna,female,yes
Anna_Maria_Nucci,female,yes
Adriana_Poli_Bortone,female,yes
Silvia_Costa,female,yes
Elisabetta_Conci,female,yes
Tina_Anselmi,female,yes
Carole_Jane_Beebe,female,yes
Laura_Cima,female,yes
Anna_Finocchiaro,female,yes
Lucia_Fronza,female,yes
Battistina_Fumagalli_Carulli,female,yes
Maria_Rita_Lorenzetti,female,yes
Nadia_Masini,female,yes
Katia_Bellillo,female,yes
Anna_Maria_Leone,female,yes
Francesca_Martini,female,yes
Carmen_Motta,female,yes
Dorina_Bianchi,female,yes
Franca_Bimbi,female,yes
Raffaella_Mariani,female,yes
Gabriella_Mondello,female,yes
Roberta_Pinotti,female,yes
Jole_Santelli,female,yes
Gabriella_Carlucci,female,yes
Erminia_Mazzoni,female,yes
Monica_Stefania_Baldi,female,yes
Isabella_Bertolini,female,yes
Beatrice_Maria_Magnolfi,female,yes
Silvana_Pisa,female,yes
Simonetta_Licastro_Scardino,female,yes
Carolina_Lussana,female,yes
Chiara_Moroni,female,yes
Patrizia_Paoletti_Tangheroni,female,yes
Luana_Zanella,female,yes
Elettra_Deiana,female,yes
Giuliana_Reduzzi,female,yes
Alba_Sasso,female,yes
Osvalda_Trupia,female,yes
Cinzia_Dato,female,yes
Daniela_Mazzuconi,female,yes
Daniela_Garnero_Santanche',female,yes
Amalia_Schirru,female,yes
Laura_Froner,female,yes
Mariastella_Gelmini,female,yes
Luisa_Capitanio,female,yes
Paola_Frassinetti,female,yes
Laura_Ravetto,female,yes
Linda_Lanzillotta,female,yes
Rosalba_Benzoni,female,yes
Maria_Paola_Merloni,female,yes
Donata_Lenzi,female,yes
Manuela_Ghizzoni,female,yes
Maria_Ida_Germontani,female,yes
Silvia_Velo,female,yes
Mariza_Antonietta_Giuditta_Bafile,female,yes
Rosa_Suppa,female,yes
Mercedes_Lourdes_Frias,female,yes
Maria_Cristina_Perugia,female,yes
Giulia_Bongiorno,female,yes
Maria_Laura_Paxia,female,yes
