nome,cognome,legislatura,incarico
VITA,MARTINCIGLIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,CAPOGRUPPO
ROBERTA,ALAIMO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,CAPOGRUPPO
ELISA,TRIPODI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,SEGRETARIO
MARA,LAPIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,SEGRETARIO
MARA,LAPIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,CAPOGRUPPO
MARIALUCIA,LOREFICE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,PRESIDENTE
MARIALUCIA,LOREFICE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,CAPOGRUPPO
VITTORIA,CASA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,PRESIDENTE
MIRELLA,EMILIOZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,SEGRETARIO
MIRELLA,EMILIOZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,VICEPRESIDENTE
PATRIZIA,TERZONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,VICEPRESIDENTE
SIMONA,SURIANO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,CAPOGRUPPO
SIMONA,SURIANO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,VICEPRESIDENTE
GIULIA,GRILLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_18,CAPOGRUPPO
LUCIANA,VIVIANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
LUCIANA,VIVIANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
LUCIANA,VIVIANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
DOLORES,ABBIATI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06,SEGRETARIO
DOLORES,ABBIATI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,VICEPRESIDENTE
CARMEN,CASAPIERI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
ELETTA,BERTANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
ELETTA,BERTANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,SEGRETARIO
ROMANA,BIANCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,SEGRETARIO
EMMA,BONINO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,SEGRETARIO
EMMA,BONINO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,SEGRETARIO
EMMA,BONINO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12,SEGRETARIO
EMMA,BONINO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
GIOVANNA,BOSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,VICEPRESIDENTE
GIOVANNA,BOSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,SEGRETARIO
GIOVANNA,BOSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,VICEPRESIDENTE
ANGELA MARIA,BOTTARI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
MARIA TERESA,CARLONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,SEGRETARIO
PAOLA,CAVIGLIASSO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
MARIA,COCCO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,VICEPRESIDENTE
MARIA,COCCO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,SEGRETARIO
GIANCARLA,CODRIGNANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,SEGRETARIO
GIANCARLA,CODRIGNANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,SEGRETARIO
CRISTINA,CONCHIGLIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,SEGRETARIO
ANGELA,GIOVAGNOLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,SEGRETARIO
MARIA TERESA,GRANATI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,VICEPRESIDENTE
FRANCESCA,LODOLINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,SEGRETARIO
ENZA,MARCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
CARLA FEDERICA,NESPOLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
MARIA AUGUSTA,PECCHIA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,SEGRETARIO
CECILIA,CHIOVINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,VICEPRESIDENTE
VITTORIA,QUARENGHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
VITTORIA,QUARENGHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,SEGRETARIO
ANNA MARIA,CIAI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,VICEPRESIDENTE
ALBA,SCARAMUCCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,SEGRETARIO
IDA,D'ESTE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
MARIA LISA,CINCIARI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
ELENA,GATTI CAPORASO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
TERESA,MATTEI,http://dati.camera.it/ocd/legislatura.rdf/costituente,SEGRETARIO
ANGIOLA,MINELLA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
