nome,cognome,legislatura,incarico
MATTEO,RESCIGNO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
PAOLO,BONOMI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
PAOLO,BONOMI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
ERCOLE,ROCCHETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
ERCOLE,ROCCHETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
PAOLO,ROSSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,PRESIDENTE
PAOLO,ROSSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
PAOLO,ROSSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
PAOLO,ROSSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
PAOLO,ROSSI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,PRESIDENTE
ANGELO,RUBINO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
ARMANDO,SABATINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
ARMANDO,SABATINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
DINO,SACCENTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
DINO,SACCENTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
MARIO,SAGGIN,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
NICOLA,SALERNO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
UMBERTO,SAMPIETRO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
VITO,SANZO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
CARLO,SCARASCIA MUGNOZZA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
PASQUALE,SCHIANO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
RAFFAELE,SCIORILLI BORRELLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
RAFFAELE,SCIORILLI BORRELLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
GUIDO,SECRETO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
GUIDO,SECRETO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
RENZO,SILVESTRI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
GIULIO,SPALLONE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
EGIDIO,SULOTTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
PAOLO,SURACI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
LEONILDO,TAROZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
LEONILDO,TAROZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
MAURO,TOGNONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
EGIDIO,TOSATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,PRESIDENTE
EGIDIO,TOSATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
EGIDIO,TOSATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
ROBERTO,TREMELLONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,PRESIDENTE
ROBERTO,TREMELLONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
ROBERTO,TREMELLONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,PRESIDENTE
GIUSEPPE,BOTTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,PRESIDENTE
TULLIO,VECCHIETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
TULLIO,VECCHIETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
CARLO EUGENIO,VENEGONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
CARLO EUGENIO,VENEGONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
GIUSEPPE,VERONESI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
TOMMASO,ZERBI,http://dati.camera.it/ocd/legislatura.rdf/costituente,VICEPRESIDENTE
TOMMASO,ZERBI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
ALDO,BOZZI,http://dati.camera.it/ocd/legislatura.rdf/costituente,SEGRETARIO
ALDO,BOZZI,http://dati.camera.it/ocd/legislatura.rdf/costituente,VICEPRESIDENTE
FAUSTO,GULLO,http://dati.camera.it/ocd/legislatura.rdf/costituente,VICEPRESIDENTE
FAUSTO,GULLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
FAUSTO,GULLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
FRANCESCO,DE VITA,http://dati.camera.it/ocd/legislatura.rdf/costituente,SEGRETARIO
ERNESTO,CARPANO MAGLIOLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
ERNESTO,CARPANO MAGLIOLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,PRESIDENTE
PAOLO,CAPPA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
LUIGI,BATTISTI,http://dati.camera.it/ocd/legislatura.rdf/costituente,SEGRETARIO
EDOARDO,D'ONOFRIO,http://dati.camera.it/ocd/legislatura.rdf/costituente,VICEPRESIDENTE
EDOARDO,D'ONOFRIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
MICHELE,TROISI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
MICHELE,TROISI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
MICHELE,TROISI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
SALVATORE ANGELO,GITTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
EUGENIO,DUGONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
EUGENIO,DUGONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
EUGENIO,DUGONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
FILIPPO,GUERRIERI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
FILIPPO,GUERRIERI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
FILIPPO,GUERRIERI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
NATALE VASCO,JACOPONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
ENNIO,AVANZINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
BERNARDO,MATTARELLA,http://dati.camera.it/ocd/legislatura.rdf/costituente,QUESTORE
BERNARDO,MATTARELLA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,QUESTORE
VINCENZO,LA ROCCA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,QUESTORE
SALVATORE,SCOCA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,PRESIDENTE
SALVATORE,SCOCA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,RELATORE
SALVATORE,SCOCA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
SALVATORE,SCOCA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
GIUSEPPE,GRASSI,http://dati.camera.it/ocd/legislatura.rdf/costituente,SEGRETARIO
BRUNETTO,BUCCIARELLI DUCCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
BRUNETTO,BUCCIARELLI DUCCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
RENZO,LACONI,http://dati.camera.it/ocd/legislatura.rdf/costituente,SEGRETARIO
RENZO,LACONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
RENZO,LACONI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
