d,cognome,nome,legislatura,gruppoParlamentare
http://dati.camera.it/ocd/deputato.rdf/d10030_1,RIVA,GIUSEPPE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d10030_2,RIVA,GIUSEPPE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d10040_3,ROCCHETTI,ERCOLE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d10100_2,ROSSI,PAOLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d10160_1,SABATINI,ARMANDO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d10200_0,SALERNO,NICOLA,http://dati.camera.it/ocd/legislatura.rdf/costituente,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d10270_3,SCARASCIA MUGNOZZA,CARLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICESEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d10310_2,SCIAUDONE,FRANCESCO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d10470_2,SPADAZZI,ODO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d10470_3,SPADAZZI,ODO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d10550_3,SULOTTO,EGIDIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d10550_3,SULOTTO,EGIDIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d10610_2,TOGNONI,MAURO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d10610_3,TOGNONI,MAURO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
