UNODC;unodc_ddds@un.org;;;;;;;;
27/03/2023;;;;;;;;;
Iso3_code;Country;Region;Subregion;Indicator;Sex;Year;Unit of measurement;VALUE;Source
ABW;Aruba;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;1;MD
ALB;Albania;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;26;MD/CTS/GSH 2023 Revision/SDG/NSO
AND;Andorra;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;0;CTS
ARE;United Arab Emirates;Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;16,96721311;CTS
ARM;Armenia;Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;19;UNECE/WHO/CTS/Covid-19/SDG
AUS;Australia;Oceania;Australia and New Zealand;Victims of intentional homicide;Female;2012;Counts;83;MD/GSH 2019 Revision/SDG/CTS
AUT;Austria;Europe;Western Europe;Victims of intentional homicide;Female;2012;Counts;38;MD/GSH 2023 Revision/CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;58;NSO/CTS
BEL;Belgium;Europe;Western Europe;Victims of intentional homicide;Female;2012;Counts;77,26923077;MD/MoH Adjusted/MoI
BGR;Bulgaria;Europe;Eastern Europe;Victims of intentional homicide;Female;2012;Counts;37;MD/CTS
BHR;Bahrain;Asia;Western Asia;Victims of intentional homicide;Female;2012;Counts;1;SDG/MoI
BHS;Bahamas;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;10;MD/CTS/GSH 2023 Revision/NP
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Victims of intentional homicide;Female;2012;Counts;24;UNECE/CTS/SDG
BLR;Belarus;Europe;Eastern Europe;Victims of intentional homicide;Female;2012;Counts;126;CTS
BLZ;Belize;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;14;OAS/CTS/MoI
BMU;Bermuda;Americas;Northern America;Victims of intentional homicide;Female;2012;Counts;0;MD/CTS/External
BRA;Brazil;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;4723;MD/DATASUS
BRB;Barbados;Americas;Latin America and the Caribbean;Victims of intentional homicide;Female;2012;Counts;2;MD/CTS
