UNODC;unodc_ddds@un.org;;;;;;;;
27/03/2023;;;;;;;;;
Iso3_code;Country;Region;Subregion;Indicator;Sex;Year;Unit of measurement;VALUE;Source
ABW;Aruba;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;3;MD
ALB;Albania;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;131;MD/CTS/GSH 2023 Revision/NSO
AND;Andorra;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;0;CTS
ARE;United Arab Emirates;Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;52,03278689;CTS
ARM;Armenia;Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;46;UNECE/WHO/CTS/Covid-19/SDG
AUS;Australia;Oceania;Australia and New Zealand;Victims of intentional homicide;Male;2012;Counts;160;MD/GSH 2019 Revision/SDG/CTS
AUT;Austria;Europe;Western Europe;Victims of intentional homicide;Male;2012;Counts;43;MD/CTS/GSH 2023 Revision
AZE;Azerbaijan;Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;144;NSO/CTS
BEL;Belgium;Europe;Western Europe;Victims of intentional homicide;Male;2012;Counts;127,7307692;MD/MoH Adjusted/MoI
BGR;Bulgaria;Europe;Eastern Europe;Victims of intentional homicide;Male;2012;Counts;104;MD/CTS
BHR;Bahrain;Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;8;SDG/MoI
BHS;Bahamas;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;100;MD/CTS/GSH 2023 Revision/NP
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Victims of intentional homicide;Male;2012;Counts;39;UNECE/CTS/SDG
BLR;Belarus;Europe;Eastern Europe;Victims of intentional homicide;Male;2012;Counts;214;CTS
BLZ;Belize;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;131;OAS/CTS/MoI
BMU;Bermuda;Americas;Northern America;Victims of intentional homicide;Male;2012;Counts;6;MD/CTS/External
BRA;Brazil;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;51591;MD/DATASUS
BRB;Barbados;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;20;MD/CTS
CAN;Canada;Americas;Northern America;Victims of intentional homicide;Male;2012;Counts;392;MD/SDG/GSH 2023 Revision/CTS
CHE;Switzerland;Europe;Western Europe;Victims of intentional homicide;Male;2012;Counts;28;MD/CTS
CHL;Chile;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;397;CTS/OAS/SDG
COL;Colombia;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;15046;MD/CTS/GSH 2023 Revision
CPV;Cabo Verde;Africa;Sub-Saharan Africa;Victims of intentional homicide;Male;2012;Counts;45,81818182;MD/CTS/SAS/MoH/NP
CRI;Costa Rica;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;357;MD/CTS/SDG
CUB;Cuba;Americas;Latin America and the Caribbean;Victims of intentional homicide;Male;2012;Counts;483;MD/MoH
CYP;Cyprus;Asia;Western Asia;Victims of intentional homicide;Male;2012;Counts;17;CTS
CZE;Czechia;Europe;Eastern Europe;Victims of intentional homicide;Male;2012;Counts;57;MD/GSH 2019 Revision/UNSDC/CTS
DEU;Germany;Europe;Western Europe;Victims of intentional homicide;Male;2012;Counts;363;SDG/CTS/NP
