legislatura,Governo,Ministro,nome,cognome
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,IV Governo Fanfani,Ministro dei Trasporti,BERNARDO,MATTARELLA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,IV Governo Fanfani,Ministro dei Trasporti e dell'Aviazione Civile,BERNARDO,MATTARELLA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,I Governo Leone,Ministro dell'Agricoltura e Foreste,BERNARDO,MATTARELLA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro di Grazia e Giustizia,GIUSEPPE,GRASSI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Fanfani,Ministro senza Portafoglio,GIULIO,PASTORE
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Segni,Ministro senza Portafoglio,GIULIO,PASTORE
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,I Governo Tambroni,MInistro senza Portafoglio,GIULIO,PASTORE
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,III Governo Fanfani,Ministro senza Portafoglio,GIULIO,PASTORE
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,IV Governo Fanfani,MInistro senza Portafoglio,GIULIO,PASTORE
http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,I Governo Leone,Ministro senza Portafoglio,GIULIO,PASTORE
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Fanfani,Ministro delle Poste e Telecomunicazioni,ALBERTO,SIMONINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro per l'Africa Italiana,ALCIDE,DE GASPERI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Fanfani,Ministro dei Trasporti,ARMANDO,ANGELINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Segni,Ministro dei Trasporti,ARMANDO,ANGELINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,I Governo Tambroni,Ministro senza Portafoglio,ARMANDO,ANGELINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Segni,Ministro senza Portafoglio,GIUSEPPE MARIA,BETTIOL
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Fanfani,Ministro di Grazia e Giustizia,GUIDO,GONELLA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Segni,Ministro di Grazia e Giustizia,GUIDO,GONELLA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,I Governo Tambroni,Ministro di Grazia e Giustizia,GUIDO,GONELLA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,III Governo Fanfani,Ministro di Grazia e Giustizia,GUIDO,GONELLA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro della Pubblica Istruzione,GUIDO,GONELLA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Segni,Ministro della Marina Mercantile,ANGELO RAFFAELE,JERVOLINO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,I Governo Tambroni,Ministro della Marina Mercantile,ANGELO RAFFAELE,JERVOLINO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,III Governo Fanfani,Ministro della Marina Mercantile,ANGELO RAFFAELE,JERVOLINO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,IV Governo Fanfani,Ministro della Sanità,ANGELO RAFFAELE,JERVOLINO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,I Governo Leone,Ministro della Sanità,ANGELO RAFFAELE,JERVOLINO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro delle Poste e Telecomunicazioni,ANGELO RAFFAELE,JERVOLINO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,IV Governo Fanfani,Ministro degli Affari Esteri,ATTILIO,PICCIONI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,I Governo Leone,Ministro degli Affari Esteri,ATTILIO,PICCIONI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,III Governo Fanfani,Ministro senza Portafoglio,ATTILIO,PICCIONI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,IV Governo Fanfani,MInistro senza Portafoglio,ATTILIO,PICCIONI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro senza Portafoglio,ATTILIO,PICCIONI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro della Marina Mercantile,GIUSEPPE,SARAGAT
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,III Governo Fanfani,Ministro dell'Interno,MARIO,SCELBA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro dell'Interno,MARIO,SCELBA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Fanfani,Ministro del Tesoro,GIULIO,ANDREOTTI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Segni,Ministro della Difesa,GIULIO,ANDREOTTI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,I Governo Tambroni,Ministro della Difesa,GIULIO,ANDREOTTI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,III Governo Fanfani,Ministro della Difesa,GIULIO,ANDREOTTI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,IV Governo Fanfani,Ministro della Difesa,GIULIO,ANDREOTTI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,I Governo Leone,Ministro della Difesa,GIULIO,ANDREOTTI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Fanfani,Ministro della Marina Mercantile,GIUSEPPE,SPATARO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Segni,Ministro delle Poste e Telecomunicazioni,GIUSEPPE,SPATARO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,I Governo Tambroni,Ministro dell'Interno,GIUSEPPE,SPATARO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,III Governo Fanfani,Ministro dei Trasporti,GIUSEPPE,SPATARO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Segni,Ministro delle Finanze,PAOLO EMILIO,TAVIANI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,I Governo Tambroni,Ministro del Tesoro,PAOLO EMILIO,TAVIANI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,III Governo Fanfani,Ministro del Tesoro,PAOLO EMILIO,TAVIANI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,IV Governo Fanfani,Ministro dell'Interno,PAOLO EMILIO,TAVIANI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Fanfani,Ministro dei Lavori Pubblici,GIUSEPPE,TOGNI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Segni,Ministro dei Lavori Pubblici,GIUSEPPE,TOGNI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,I Governo Tambroni,Ministro dei Lavori Pubblici,GIUSEPPE,TOGNI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,I Governo Leone,Ministro dell'Industria e Commercio,GIUSEPPE,TOGNI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro senza Portafoglio,ALBERTO,GIOVANNINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,IV Governo Fanfani,Ministro della Marina Mercantile,GINO,MACRELLI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,I Governo Tambroni,Ministro delle Poste e Telecomunicazioni,ANTONIO,MAXIA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Fanfani,Ministro della Difesa,ANTONIO,SEGNI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Segni,Ministro dell'Interno,ANTONIO,SEGNI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,I Governo Tambroni,Ministro degli Affari Esteri,ANTONIO,SEGNI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,III Governo Fanfani,Ministro degli Affari Esteri,ANTONIO,SEGNI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,IV Governo Fanfani,Ministro degli Affari Esteri,ANTONIO,SEGNI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro dell'Agricoltura e Foreste,ANTONIO,SEGNI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro dell'Industria e Commercio,GIOVANNI BATTISTA,BERTONE
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro del Commercio con l'Estero,GIOVANNI BATTISTA,BERTONE
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro senza Portafoglio,GIOVANNI,PORZIO
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro degli Affari Esteri,CARLO,SFORZA
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,III Governo Fanfani,Ministro senza Portafoglio,TIZIANO,TESSITORI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Segni,Ministro del Turismo e Spettacolo,UMBERTO,TUPINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,I Governo Tambroni,Ministro del Turismo e Spettacolo,UMBERTO,TUPINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro dei Lavori Pubblici,UMBERTO,TUPINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,II Governo Segni,Ministro senza Portafoglio,UMBERTO,TUPINI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro delle Finanze,EZIO,VANONI
http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,V Governo De Gasperi,Ministro del Commercio con l'Estero,CESARE,MERZAGORA
