Governo,Ministro,nome,cognome,gender
IV Governo Fanfani,Ministro dei Trasporti,BERNARDO,MATTARELLA,male
IV Governo Fanfani,Ministro dei Trasporti e dell'Aviazione Civile,BERNARDO,MATTARELLA,male
I Governo Leone,Ministro dell'Agricoltura e Foreste,BERNARDO,MATTARELLA,male
V Governo De Gasperi,Ministro di Grazia e Giustizia,GIUSEPPE,GRASSI,male
II Governo Fanfani,Ministro senza Portafoglio,GIULIO,PASTORE,male
II Governo Segni,Ministro senza Portafoglio,GIULIO,PASTORE,male
I Governo Tambroni,MInistro senza Portafoglio,GIULIO,PASTORE,male
III Governo Fanfani,Ministro senza Portafoglio,GIULIO,PASTORE,male
IV Governo Fanfani,MInistro senza Portafoglio,GIULIO,PASTORE,male
I Governo Leone,Ministro senza Portafoglio,GIULIO,PASTORE,male
II Governo Fanfani,Ministro delle Poste e Telecomunicazioni,ALBERTO,SIMONINI,male
V Governo De Gasperi,Ministro per l'Africa Italiana,ALCIDE,DE GASPERI,male
II Governo Fanfani,Ministro dei Trasporti,ARMANDO,ANGELINI,male
II Governo Segni,Ministro dei Trasporti,ARMANDO,ANGELINI,male
I Governo Tambroni,Ministro senza Portafoglio,ARMANDO,ANGELINI,male
II Governo Segni,Ministro senza Portafoglio,GIUSEPPE MARIA,BETTIOL,male
II Governo Fanfani,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male
II Governo Segni,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male
I Governo Tambroni,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male
III Governo Fanfani,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male
V Governo De Gasperi,Ministro della Pubblica Istruzione,GUIDO,GONELLA,male
II Governo Segni,Ministro della Marina Mercantile,ANGELO RAFFAELE,JERVOLINO,male
I Governo Tambroni,Ministro della Marina Mercantile,ANGELO RAFFAELE,JERVOLINO,male
III Governo Fanfani,Ministro della Marina Mercantile,ANGELO RAFFAELE,JERVOLINO,male
IV Governo Fanfani,Ministro della Sanità,ANGELO RAFFAELE,JERVOLINO,male
I Governo Leone,Ministro della Sanità,ANGELO RAFFAELE,JERVOLINO,male
V Governo De Gasperi,Ministro delle Poste e Telecomunicazioni,ANGELO RAFFAELE,JERVOLINO,male
IV Governo Fanfani,Ministro degli Affari Esteri,ATTILIO,PICCIONI,male
I Governo Leone,Ministro degli Affari Esteri,ATTILIO,PICCIONI,male
III Governo Fanfani,Ministro senza Portafoglio,ATTILIO,PICCIONI,male
IV Governo Fanfani,MInistro senza Portafoglio,ATTILIO,PICCIONI,male
V Governo De Gasperi,Ministro senza Portafoglio,ATTILIO,PICCIONI,male
V Governo De Gasperi,Ministro della Marina Mercantile,GIUSEPPE,SARAGAT,male
III Governo Fanfani,Ministro dell'Interno,MARIO,SCELBA,male
V Governo De Gasperi,Ministro dell'Interno,MARIO,SCELBA,male
II Governo Fanfani,Ministro del Tesoro,GIULIO,ANDREOTTI,male
II Governo Segni,Ministro della Difesa,GIULIO,ANDREOTTI,male
