Governo,Ministro,nome,cognome,gender,legislatura
IV Governo Fanfani,Ministro dei Trasporti,BERNARDO,MATTARELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,Ministro dei Trasporti e dell'Aviazione Civile,BERNARDO,MATTARELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Leone,Ministro dell'Agricoltura e Foreste,BERNARDO,MATTARELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
V Governo De Gasperi,Ministro di Grazia e Giustizia,GIUSEPPE,GRASSI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
II Governo Fanfani,Ministro senza Portafoglio,GIULIO,PASTORE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro senza Portafoglio,GIULIO,PASTORE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,MInistro senza Portafoglio,GIULIO,PASTORE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro senza Portafoglio,GIULIO,PASTORE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,MInistro senza Portafoglio,GIULIO,PASTORE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Leone,Ministro senza Portafoglio,GIULIO,PASTORE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
II Governo Fanfani,Ministro delle Poste e Telecomunicazioni,ALBERTO,SIMONINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
V Governo De Gasperi,Ministro per l'Africa Italiana,ALCIDE,DE GASPERI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
II Governo Fanfani,Ministro dei Trasporti,ARMANDO,ANGELINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro dei Trasporti,ARMANDO,ANGELINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro senza Portafoglio,ARMANDO,ANGELINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro senza Portafoglio,GIUSEPPE MARIA,BETTIOL,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Fanfani,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
V Governo De Gasperi,Ministro della Pubblica Istruzione,GUIDO,GONELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
II Governo Segni,Ministro della Marina Mercantile,ANGELO RAFFAELE,JERVOLINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro della Marina Mercantile,ANGELO RAFFAELE,JERVOLINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro della Marina Mercantile,ANGELO RAFFAELE,JERVOLINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,Ministro della Sanità,ANGELO RAFFAELE,JERVOLINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Leone,Ministro della Sanità,ANGELO RAFFAELE,JERVOLINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04
V Governo De Gasperi,Ministro delle Poste e Telecomunicazioni,ANGELO RAFFAELE,JERVOLINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
IV Governo Fanfani,Ministro degli Affari Esteri,ATTILIO,PICCIONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
