gruppoPar,gender
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
INSIEME PER IL FUTURO ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
INSIEME PER IL FUTURO ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
INSIEME PER IL FUTURO ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
MOVIMENTO 5 STELLE ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
DEMOCRATICO CRISTIANO ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
COMUNISTA ,female
PARTITO COMUNISTA ITALIANO ,female
COMUNISTA ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
PARTITO COMUNISTA ITALIANO ,female
DEMOCRAZIA CRISTIANA ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
COMUNISTA ,female
FEDERALISTA EUROPEO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
DEMOCRAZIA CRISTIANA ,female
PARTITO COMUNISTA ITALIANO ,female
DEMOCRAZIA CRISTIANA ,female
RIFONDAZIONE COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
DEMOCRATICO CRISTIANO ,female
PARTITO COMUNISTA ITALIANO ,female
FEDERALISTA EUROPEO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
COSTITUENTE DI DESTRA - DEMOCRAZIA NAZIONALE ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
DEMOCRAZIA CRISTIANA ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
DEMOCRATICO CRISTIANO ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
COMUNISTA ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
COMUNISTA ,female
COMUNISTA ,female
PARTITO SOCIALISTA ITALIANO ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
COMUNISTA ,female
PARTITO SOCIALISTA ITALIANO ,female
COMUNISTA ,female
PARTITO SOCIALISTA ITALIANO ,female
ALLEANZA NAZIONALE ,female
COMUNISTA ,female
COMUNISTA ,female
COMUNISTA ,female
MISTO ,female
PARTITO COMUNISTA ITALIANO ,female
COMUNISTA - PDS ,female
ALLEANZA NAZIONALE ,female
COMUNISTA ,female
PARTITO RADICALE ,female
MISTO ,female
COMUNISTA ,female
MISTO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
COMUNISTA ,female
DEMOCRATICO CRISTIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
DEMOCRAZIA CRISTIANA ,female
PARTITO COMUNISTA ITALIANO ,female
DEMOCRAZIA CRISTIANA ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
DEMOCRAZIA CRISTIANA ,female
PARTITO COMUNISTA ITALIANO ,female
PARTITO SOCIALISTA ITALIANO ,female
PARTITO COMUNISTA ITALIANO ,female
SINISTRA INDIPENDENTE ,female
PARTITO COMUNISTA ITALIANO ,female
COMUNISTA ,female
COMUNISTA ,female
COMUNISTA ,female
MOVIMENTO SOCIALE ITALIANO - DESTRA NAZIONALE ,female
COMUNISTA ,female
COMUNISTA ,female
COMUNISTA ,female
COMUNISTA ,female
PARTITO SOCIALISTA ITALIANO ,female
COMUNISTA ,female
SINISTRA INDIPENDENTE ,female
COMUNISTA ,female
COMUNISTA ,female
COMUNISTA ,female
COMUNISTA ,female
