partito,gender
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE,male
PARTITO SOCIALISTA ITALIANO,male
PARTITO SOCIALISTA LAVORATORI ITALIANI,male
PARTITO SOCIALISTA LAVORATORI ITALIANI,male
PARTITO SOCIALISTA ITALIANO,male
COMUNISTA,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA ITALIANO,male
PARTITO SOCIALISTA LAVORATORI ITALIANI,male
DEMOCRATICO CRISTIANO,male
REPUBBLICANO,male
COMUNISTA,male
COMUNISTA,male
PARTITO SOCIALISTA LAVORATORI ITALIANI,male
PARTITO SOCIALISTA ITALIANO,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA ITALIANO,male
PARTITO SOCIALISTA LAVORATORI ITALIANI,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE,male
PARTITO SOCIALISTA ITALIANO,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
UNIONE DEMOCRATICA NAZIONALE,male
COMUNISTA,male
REPUBBLICANO,male
PARTITO SOCIALISTA ITALIANO,male
DEMOCRATICO CRISTIANO,male
UNIONE DEMOCRATICA NAZIONALE,male
LIBERALE,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA ITALIANO,male
COMUNISTA,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
MISTO,male
DEMOCRATICO CRISTIANO,male
MISTO,male
FRONTE LIBERALE DEMOCRATICO DELL'UOMO QUALUNQUE,male
COMUNISTA,male
PARTITO SOCIALISTA ITALIANO,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA ITALIANO,male
PARTITO SOCIALISTA LAVORATORI ITALIANI,male
REPUBBLICANO,male
PARTITO SOCIALISTA ITALIANO,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA LAVORATORI ITALIANI,male
PARTITO SOCIALISTA ITALIANO,male
COMUNISTA,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA DEI LAVORATORI ITALIANI,male
PARTITO SOCIALISTA,male
DEMOCRATICO CRISTIANO,male
UNITA' SOCIALISTA,male
PARTITO SOCIALISTA DEI LAVORATORI ITALIANI,male
PARTITO SOCIALISTA,male
PARTITO NAZIONALE MONARCHICO,male
COMUNISTA,male
MISTO,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
COMUNISTA,male
COMUNISTA,male
DEMOCRATICO CRISTIANO,male
UNITA' SOCIALISTA,male
PARTITO SOCIALISTA,male
PARTITO SOCIALISTA DEI LAVORATORI ITALIANI,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
MISTO,male
COMUNISTA,male
UNITA' SOCIALISTA,male
PARTITO SOCIALISTA UNITARIO,male
PARTITO SOCIALISTA,male
PARTITO REPUBBLICANO ITALIANO,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
COMUNISTA,male
PARTITO REPUBBLICANO ITALIANO,male
LIBERALE,male
DEMOCRATICO CRISTIANO,male
MISTO,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
PARTITO SOCIALISTA DEI LAVORATORI ITALIANI,male
UNITA' SOCIALISTA,male
PARTITO SOCIALISTA,male
COMUNISTA,male
PARTITO SOCIALISTA ITALIANO,male
PARTITO SOCIALISTA ITALIANO,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO,male
MISTO,male
PARTITO NAZIONALE MONARCHICO,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
COMUNISTA,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
DEMOCRATICO CRISTIANO,male
PARTITO NAZIONALE MONARCHICO,male
MISTO,male
PARTITO MONARCHICO POPOLARE,male
PARTITO SOCIALISTA ITALIANO,male
COMUNISTA,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA ITALIANO,male
COMUNISTA,male
PARTITO MONARCHICO POPOLARE,male
PARTITO NAZIONALE MONARCHICO,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
LIBERALE,male
PARTITO MONARCHICO POPOLARE,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
MOVIMENTO SOCIALE ITALIANO,male
MISTO,male
DEMOCRATICO CRISTIANO,male
LIBERALE,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
MISTO,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
COMUNISTA,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA ITALIANO,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO,male
PARTITO SOCIALISTA ITALIANO,male
COMUNISTA,male
COMUNISTA,male
LIBERALE,male
COMUNISTA,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO,male
LIBERALE,male
PARTITO SOCIALISTA ITALIANO,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA ITALIANO,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA ITALIANO,male
COMUNISTA,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA ITALIANO,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO,male
COMUNISTA,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO,male
COMUNISTA,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
COMUNISTA,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI,male
PARTITO LIBERALE ITALIANO,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA ITALIANO DI UNITA' PROLETARIA,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA ITALIANO DI UNITA' PROLETARIA,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA ITALIANO,male
PARTITO SOCIALISTA ITALIANO DI UNITA' PROLETARIA,male
COMUNISTA,male
PARTITO SOCIALISTA ITALIANO,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
COMUNISTA,male
PARTITO LIBERALE ITALIANO,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI,male
DEMOCRATICO CRISTIANO,male
DEMOCRATICO CRISTIANO,male
PARTITO SOCIALISTA DEMOCRATICO ITALIANO,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI,male
DEMOCRATICO CRISTIANO,male
PARTITO LIBERALE ITALIANO,male
DEMOCRATICO CRISTIANO,male
PARTITO LIBERALE ITALIANO,male
DEMOCRAZIA CRISTIANA,male
DEMOCRAZIA CRISTIANA,male
DEMOCRAZIA CRISTIANA,male
PARTITO COMUNISTA ITALIANO,male
DEMOCRAZIA CRISTIANA,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI,male
PARTITO SOCIALISTA UNITARIO,male
DEMOCRAZIA CRISTIANA,male
PARTITO COMUNISTA ITALIANO,male
PARTITO COMUNISTA ITALIANO,male
PARTITO COMUNISTA ITALIANO,male
PARTITO SOCIALISTA UNITARIO,male
DEMOCRAZIA CRISTIANA,male
PARTITO COMUNISTA ITALIANO,male
DEMOCRAZIA CRISTIANA,male
PARTITO COMUNISTA ITALIANO,male
DEMOCRAZIA CRISTIANA,male
PARTITO COMUNISTA ITALIANO,male
PARTITO COMUNISTA ITALIANO,male
DEMOCRAZIA CRISTIANA,male
PARTITO COMUNISTA ITALIANO,male
PARTITO SOCIALISTA UNITARIO,male
PARTITO COMUNISTA ITALIANO,male
DEMOCRAZIA CRISTIANA,male
DEMOCRAZIA CRISTIANA,male
DEMOCRAZIA CRISTIANA,male
PARTITO COMUNISTA ITALIANO,male
DEMOCRAZIA CRISTIANA,male
PARTITO COMUNISTA ITALIANO,male
MISTO,male
PARTITO COMUNISTA ITALIANO,male
PARTITO SOCIALISTA ITALIANO DI UNITA' PROLETARIA,male
PARTITO COMUNISTA ITALIANO,male
DEMOCRAZIA CRISTIANA,male
DEMOCRAZIA CRISTIANA,male
PARTITO COMUNISTA ITALIANO,male
DEMOCRAZIA CRISTIANA,male
PARTITO SOCIALISTA ITALIANO - PARTITO SOCIALISTA DEMOCRATICO ITALIANO UNIFICATI,male
DEMOCRAZIA CRISTIANA,male
PARTITO COMUNISTA ITALIANO,male
DEMOCRAZIA CRISTIANA,male
DEMOCRAZIA CRISTIANA,male
PARTITO COMUNISTA ITALIANO,male
DEMOCRAZIA CRISTIANA,male
PARTITO COMUNISTA ITALIANO,male
DEMOCRAZIA CRISTIANA,male
PARTITO COMUNISTA ITALIANO,male
DEMOCRAZIA CRISTIANA,male
MOVIMENTO SOCIALE ITALIANO - DESTRA NAZIONALE,male
DEMOCRAZIA CRISTIANA,male
