Anno;Mese;Museo;Visitatori;Utenti
2015;gennaio;Museo Medievale;5281;318
2015;gennaio;MAMbo e Museo Morandi;10730;1811
2015;gennaio;Villa delle Rose;264;0
2015;gennaio;Museo della Musica;1769;901
2015;febbraio;Museo Archeologico;6865;1406
2015;febbraio;Collezioni Comunali d'Arte;944;184
2015;febbraio;Villa delle Rose;31;0
2015;febbraio;Museo per la Memoria di Ustica;869;127
2015;febbraio;Casa Morandi;238;0
2015;marzo;Museo Davia Bargellini;989;0
2015;marzo;Museo Medievale;5320;174
2015;marzo;MAMbo e Museo Morandi;8269;2944
2015;marzo;Villa delle Rose;0;0
2015;marzo;Museo per la Memoria di Ustica;2014;55
2015;marzo;Museo del Patrimonio Industriale;4595;2996
2015;aprile;Collezioni Comunali d'Arte;2667;420
2015;aprile;Museo Davia Bargellini;564;26
2015;aprile;Museo Medievale;5820;634
2015;aprile;Museo del Risorgimento;858;212
2015;maggio;Collezioni Comunali d'Arte;2167;501
2015;maggio;Museo del Patrimonio Industriale;2474;1556
2015;giugno;Museo Archeologico;3058;471
2015;giugno;Collezioni Comunali d'Arte;1136;7
2015;giugno;Museo Davia Bargellini;529;41
2015;giugno;Villa delle Rose;0;0
2015;giugno;Museo per la Memoria di Ustica;2322;0
2015;giugno;Casa Morandi;103;0
2015;giugno;Museo del Risorgimento;1056;819
2015;giugno;Museo della Musica;665;244
2015;luglio;Museo Archeologico;992;0
2015;luglio;Collezioni Comunali d'Arte;1028;0
2015;luglio;Villa delle Rose;0;0
2015;luglio;Casa Morandi;73;0
2015;agosto;Museo Archeologico;0;0
2015;agosto;Museo Medievale;1604;0
2015;agosto;Museo per la Memoria di Ustica;577;0
2015;agosto;Casa Morandi;93;0
2015;agosto;Museo del Patrimonio Industriale;134;69
2015;agosto;Museo del Risorgimento;0;87
2015;settembre;Villa delle Rose;0;0
2015;ottobre;Museo Davia Bargellini;442;0
2015;ottobre;Museo Medievale;2515;208
2015;ottobre;Villa delle Rose;0;1501
2015;ottobre;Museo del Patrimonio Industriale;2339;1752
2015;ottobre;Museo del Risorgimento;632;327
2015;novembre;Museo Archeologico;16866;303
2015;novembre;Collezioni Comunali d'Arte;1360;74
2015;novembre;Villa delle Rose;0;277
2015;novembre;Museo della Musica;4957;2969
2015;dicembre;Museo Archeologico;18075;204
2015;dicembre;Villa delle Rose;0;0
2015;dicembre;Museo del Patrimonio Industriale;2640;1538
2016;gennaio;Museo Archeologico;22155;357
2016;gennaio;Museo Davia Bargellini;5066;52
2016;gennaio;Museo per la Memoria di Ustica;1199;0
2016;gennaio;Museo del Patrimonio Industriale;3060;2271
2016;gennaio;Museo del Risorgimento;620;556
2016;febbraio;Collezioni Comunali d'Arte;1532;78
2016;febbraio;Museo Davia Bargellini;770;93
2016;febbraio;Museo Medievale;3295;713
2016;febbraio;Museo per la Memoria di Ustica;922;20
2016;marzo;Museo Davia Bargellini;661;24
2016;marzo;MAMbo e Museo Morandi;11509;1592
2016;marzo;Museo della Musica;2620;3402
