nome,gender
ALCIDE DE GASPERI,male
AMINTORE FANFANI,male
MATTEO RENZI,male
ANTONIO SEGNI,male
FERDINANDO TAMBRONI ARMAROLI,male
GIOVANNI LEONE,male
ALDO MORO,male
MARIANO RUMOR,male
EMILIO COLOMBO,male
GIULIO ANDREOTTI,male
FRANCESCO COSSIGA,male
ARNALDO FORLANI,male
GIOVANNI SPADOLINI,male
BENEDETTO CRAXI,male
GIOVANNI GORIA,male
LUIGI CIRIACO DE MITA,male
GIULIANO AMATO,male
CARLO AZEGLIO CIAMPI,male
SILVIO BERLUSCONI,male
LAMBERTO DINI,male
GIUSEPPE PELLA,male
ROMANO PRODI,male
MASSIMO D'ALEMA,male
MARIO MONTI,male
MARIO SCELBA,male
ENRICO LETTA,male
ADONE ZOLI,male
GIUSEPPE CONTE,male
PAOLO GENTILONI SILVERI,male
MARIO DRAGHI,male
GIORGIA MELONI,female
