"name","prizeName","year","gender","category"
"Jacobus Henricus van 't Hoff","The Nobel Prize in Chemistry 1901","1901","male","http://data.nobelprize.org/terms/Chemistry"
"Sully Prudhomme","The Nobel Prize in Literature 1901","1901","male","http://data.nobelprize.org/terms/Literature"
"Frédéric Passy","The Nobel Peace Prize 1901","1901","male","http://data.nobelprize.org/terms/Peace"
"Jean Henry Dunant","The Nobel Peace Prize 1901","1901","male","http://data.nobelprize.org/terms/Peace"
"Wilhelm Conrad Röntgen","The Nobel Prize in Physics 1901","1901","male","http://data.nobelprize.org/terms/Physics"
"Emil Adolf von Behring","The Nobel Prize in Physiology or Medicine 1901","1901","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Hermann Emil Fischer","The Nobel Prize in Chemistry 1902","1902","male","http://data.nobelprize.org/terms/Chemistry"
"Christian Matthias Theodor Mommsen","The Nobel Prize in Literature 1902","1902","male","http://data.nobelprize.org/terms/Literature"
"Charles Albert Gobat","The Nobel Peace Prize 1902","1902","male","http://data.nobelprize.org/terms/Peace"
"Élie Ducommun","The Nobel Peace Prize 1902","1902","male","http://data.nobelprize.org/terms/Peace"
"Hendrik Antoon Lorentz","The Nobel Prize in Physics 1902","1902","male","http://data.nobelprize.org/terms/Physics"
"Pieter Zeeman","The Nobel Prize in Physics 1902","1902","male","http://data.nobelprize.org/terms/Physics"
"Ronald Ross","The Nobel Prize in Physiology or Medicine 1902","1902","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Svante August Arrhenius","The Nobel Prize in Chemistry 1903","1903","male","http://data.nobelprize.org/terms/Chemistry"
"Bjørnstjerne Martinus Bjørnson","The Nobel Prize in Literature 1903","1903","male","http://data.nobelprize.org/terms/Literature"
"William Randal Cremer","The Nobel Peace Prize 1903","1903","male","http://data.nobelprize.org/terms/Peace"
"Marie Curie, née Sklodowska","The Nobel Prize in Physics 1903","1903","female","http://data.nobelprize.org/terms/Physics"
"Antoine Henri Becquerel","The Nobel Prize in Physics 1903","1903","male","http://data.nobelprize.org/terms/Physics"
"Pierre Curie","The Nobel Prize in Physics 1903","1903","male","http://data.nobelprize.org/terms/Physics"
"Niels Ryberg Finsen","The Nobel Prize in Physiology or Medicine 1903","1903","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Sir William Ramsay","The Nobel Prize in Chemistry 1904","1904","male","http://data.nobelprize.org/terms/Chemistry"
"Frédéric Mistral","The Nobel Prize in Literature 1904","1904","male","http://data.nobelprize.org/terms/Literature"
