UNODC;unodc_ddds@un.org;;;;;;;;;;;
06/06/2022;;;;;;;;;;;;
Iso3_code;Country;Region;Subregion;Indicator;Dimension;Category;Sex;Age;Year;Unit of measurement;VALUE;Source
ALB;Albania;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;7;CTS
ALB;Albania;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;5;CTS
ALB;Albania;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;4;CTS
ALB;Albania;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;3;CTS
ALB;Albania;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;5;CTS
AND;Andorra;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;2;CTS
AND;Andorra;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;1;CTS
ARE;United Arab Emirates;Asia;Western Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;0;CTS
ARE;United Arab Emirates;Asia;Western Asia;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2019;Counts;0;CTS
ARM;Armenia;Asia;Western Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;0;CTS
ARM;Armenia;Asia;Western Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;1;CTS
ARM;Armenia;Asia;Western Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;0;CTS
ARM;Armenia;Asia;Western Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;0;CTS
AUT;Austria;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;685;CTS
AUT;Austria;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;740;CTS
AUT;Austria;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;1172;CTS
AUT;Austria;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;1681;CTS
AZE;Azerbaijan;Asia;Western Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;1;CTS
BEL;Belgium;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;1173;CTS
BEL;Belgium;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2014;Counts;1;CTS
BEL;Belgium;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;1213;CTS
BEL;Belgium;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2015;Counts;7;CTS
BEL;Belgium;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;1275;CTS
BEL;Belgium;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2016;Counts;54;CTS
BEL;Belgium;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;1488;CTS
BEL;Belgium;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2017;Counts;131;CTS
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;33;CTS
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2019;Counts;12;CTS
BRB;Barbados;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;0;CTS
BRB;Barbados;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2017;Counts;0;CTS
BTN;Bhutan;Asia;Southern Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;0;CTS
BTN;Bhutan;Asia;Southern Asia;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2014;Counts;0;CTS
BTN;Bhutan;Asia;Southern Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;0;CTS
BTN;Bhutan;Asia;Southern Asia;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2015;Counts;0;CTS
BTN;Bhutan;Asia;Southern Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;0;CTS
BTN;Bhutan;Asia;Southern Asia;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2016;Counts;0;CTS
BTN;Bhutan;Asia;Southern Asia;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;0;CTS
BTN;Bhutan;Asia;Southern Asia;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2017;Counts;0;CTS
CAN;Canada;Americas;Northern America;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2014;Counts;3894;CTS
CAN;Canada;Americas;Northern America;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;4380;CTS
CAN;Canada;Americas;Northern America;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;6360;CTS
CAN;Canada;Americas;Northern America;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;6521;CTS
CHE;Switzerland;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2015;Counts;418;CTS
CHE;Switzerland;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2016;Counts;419;CTS
CHE;Switzerland;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;579;CTS
CHE;Switzerland;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2018;Counts;712;CTS
CHE;Switzerland;Europe;Western Europe;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2019;Counts;1354;CTS
CHL;Chile;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography;Total;Total;2017;Counts;347;CTS
CHL;Chile;Americas;Latin America and the Caribbean;Offences of sexual nature;by type of offence;Child pornography: Cyber-related;Total;Total;2017;Counts;125;CTS
