UNODC;unodc_ddds@un.org;;;;;;;;;
06/06/2022;;;;;;;;;;
Iso3_code;Country;Region;Subregion;Indicator;Dimension;Category;Sex;Year;VALUE;Source
ALB;Albania;Europe;Southern Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2018;2;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2013;214;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2013;185;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2013;180;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2013;16;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2014;194;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2014;166;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2014;285;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2014;10;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2015;198;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;174;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2015;231;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;12;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2016;52;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;50;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2016;44;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;5;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;23;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2017;31;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;4;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2017;39;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2018;217;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2018;214;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2018;424;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;16;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2019;245;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2019;236;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2019;403;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2019;14;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2020;252;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2020;208;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2020;446;CTS
AUT;Austria;Europe;Western Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;17;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2016;11;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;30;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2017;25;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2017;17;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2018;21;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2018;14;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2019;23;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2019;14;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Female;2020;13;CTS
AZE;Azerbaijan;Asia;Western Asia;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2020;17;CTS
