UNODC;unodc_ddds@un.org;;;;;;;;;;
06/06/2022;;;;;;;;;;;
Iso3_code;Country;Region;Subregion;Indicator;Dimension;Category;Sex;Year;Unit of measurement;VALUE;Source
ALB;Albania;Europe;Southern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;1;CTS
AUS;Australia;Oceania;Australia and New Zealand;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;5811;CTS
AUS;Australia;Oceania;Australia and New Zealand;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;6497;CTS
AUS;Australia;Oceania;Australia and New Zealand;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;6942;CTS
AUS;Australia;Oceania;Australia and New Zealand;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;7456;CTS
AUS;Australia;Oceania;Australia and New Zealand;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;7645;CTS
AUS;Australia;Oceania;Australia and New Zealand;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2019;Counts;7690;CTS
AUS;Australia;Oceania;Australia and New Zealand;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2020;Counts;8723;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2013;Counts;509;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2013;Counts;845;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2013;Counts;104;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2013;Counts;25;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;525;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2014;Counts;823;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2014;Counts;153;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2014;Counts;7;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;531;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;761;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2015;Counts;161;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;11;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;532;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2016;Counts;1073;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2016;Counts;756;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2016;Counts;60;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;555;CTS
AUT;Austria;Europe;Western Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2017;Counts;1176;CTS
