UNODC;unodc_ddds@un.org;;;;;;;;;
06/06/2022;;;;;;;;;;
Iso3_code;Country;Region;Subregion;Dimension;Category;Sex;Year;Unit of measurement;VALUE;Source
ALB;Albania;Europe;Southern Europe;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;2;CTS
ALB;Albania;Europe;Southern Europe;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;1;CTS
AUS;Australia;Oceania;Australia and New Zealand;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;5811;CTS
AUS;Australia;Oceania;Australia and New Zealand;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;6497;CTS
AUS;Australia;Oceania;Australia and New Zealand;by relationship to perpetrator;Intimate partner or family member;Female;2016;Counts;6942;CTS
AUS;Australia;Oceania;Australia and New Zealand;by relationship to perpetrator;Intimate partner or family member;Female;2017;Counts;7456;CTS
AUS;Australia;Oceania;Australia and New Zealand;by relationship to perpetrator;Intimate partner or family member;Female;2018;Counts;7645;CTS
AUS;Australia;Oceania;Australia and New Zealand;by relationship to perpetrator;Intimate partner or family member;Female;2019;Counts;7690;CTS
AUS;Australia;Oceania;Australia and New Zealand;by relationship to perpetrator;Intimate partner or family member;Female;2020;Counts;8723;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2013;Counts;214;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2013;Counts;185;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2013;Counts;180;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2013;Counts;16;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2013;Counts;509;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2013;Counts;845;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2013;Counts;104;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2013;Counts;25;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;194;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2014;Counts;166;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2014;Counts;285;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2014;Counts;10;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2014;Counts;525;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2014;Counts;823;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2014;Counts;153;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2014;Counts;7;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Intimate partner or family member;Female;2015;Counts;198;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Other Perpetrator known to the victim;Female;2015;Counts;174;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Perpetrator unknown to the victim;Female;2015;Counts;231;CTS
AUT;Austria;Europe;Western Europe;by relationship to perpetrator;Relationship to perpetrator is not known;Female;2015;Counts;12;CTS
