UNODC;unodc_ddds@un.org;;;;;;;;;;
06/06/2022;;;;;;;;;;;
Iso3_code;Country;Region;Subregion;Indicator;Dimension;Category;Sex;Year;Unit of measurement;VALUE;Source
ALB;Albania;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2017;Counts;0;CTS
ALB;Albania;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2017;Counts;0;CTS
ALB;Albania;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2017;Counts;1;CTS
ALB;Albania;Europe;Southern Europe;Victims of serious assault;by relationship to perpetrator;Intimate partner or family member;Male;2018;Counts;1;CTS
ALB;Albania;Europe;Southern Europe;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Male;2018;Counts;14;CTS
ALB;Albania;Europe;Southern Europe;Victims of serious assault;by relationship to perpetrator;Perpetrator unknown to the victim;Male;2018;Counts;1;CTS
ALB;Albania;Europe;Southern Europe;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Male;2018;Counts;141;CTS
ALB;Albania;Europe;Southern Europe;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Male;2018;Counts;1;CTS
ALB;Albania;Europe;Southern Europe;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Male;2018;Counts;11;CTS
ALB;Albania;Europe;Southern Europe;Victims of sexual violence;by relationship to perpetrator;Perpetrator unknown to the victim;Male;2018;Counts;2;CTS
ALB;Albania;Europe;Southern Europe;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Male;2018;Counts;90;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2016;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2016;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2016;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2016;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2016;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2016;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2016;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2017;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2017;Counts;1;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2017;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2017;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2017;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2017;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2017;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2018;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2018;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2018;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2018;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2018;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2018;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2018;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2019;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2019;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2019;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2019;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2019;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2019;Counts;0;CTS
AND;Andorra;Europe;Southern Europe;Victims of sexual exploitation;Total;Total;Male;2019;Counts;0;CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Male;2015;Counts;8;CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Male;2015;Counts;14;CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Male;2015;Counts;2;CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Other Perpetrator known to the victim;Male;2015;Counts;15;CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Relationship to perpetrator is not known;Male;2015;Counts;28;CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Victims of serious assault;by relationship to perpetrator;Other Perpetrator known to the victim;Male;2016;Counts;10;CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Victims of serious assault;by relationship to perpetrator;Relationship to perpetrator is not known;Male;2016;Counts;13;CTS
ATG;Antigua and Barbuda;Americas;Latin America and the Caribbean;Victims of sexual violence;by relationship to perpetrator;Intimate partner or family member;Male;2016;Counts;4;CTS
