nome,cognome,gender
MATTEO,RESCIGNO,male
PAOLO,BONOMI,male
MARIO,RICCI,male
ACHILLE,RIGAMONTI,male
GIUSEPPE,RIVA,male
ERCOLE,ROCCHETTI,male
CESARIO,RODI,male
ARTURO,ROGNONI,male
GIUSEPPE,ROMANATO,male
BARTOLOMEO,ROMANO,male
GIANFRANCO,ALIVERTI,male
PAOLO,ROSSI,male
PAOLO MARIO,ROSSI,male
ANGELO,RUBINO,male
CARLO,RUGGIERO,male
SALVATORE,RUSSO,male
ARMANDO,SABATINI,male
DINO,SACCENTI,male
MARIO,SAGGIN,male
NICOLA,SALERNO,male
RAFFAELLO,SALUTARI,male
UMBERTO,SAMPIETRO,male
VITO,SANZO,male
GAETANO,SARDIELLO,male
CARLO,SCARASCIA MUGNOZZA,male
VITO,SCARONGELLA,male
PASQUALE,SCHIANO,male
GIUSEPPE,SCHIRO',male
FRANCESCO,SCIAUDONE,male
RAFFAELE,SCIORILLI BORRELLI,male
GUIDO,SECRETO,male
ANTONIO,SENSI,male
GIOVANNI,SERBANDINI,male
EMILIO,SERENI,male
ADRIANO,SERONI,male
LEONARDANTONIO,SFORZA,male
FRANCO,BORTOLANI,male
LUIGI,SILIPO,male
SECONDO,TRANQUILLI,male
RENZO,SILVESTRI,male
GIOVANNI,SODANO,male
TOMMASO,SORGI,male
ODO,SPADAZZI,male
GIUSEPPE,SPECIALE,male
CARLO,STAGNO D'ALCONTRES,male
BRUNO,STORTI,male
ACHILLE,STUANI,male
GIOVANNI BATTISTA,STUCCHI,male
EGIDIO,SULOTTO,male
PAOLO,SURACI,male
LEONILDO,TAROZZI,male
MAURO,TOGNONI,male
ROMANO,TOMMASI,male
EGIDIO,TOSATO,male
EMILIO,TRABUCCHI,male
ROBERTO,TREMELLONI,male
MARIANO,TROMBETTA,male
GIUSEPPE,TUDISCO,male
MICHELE MARIA,TUMMINELLI,male
VINCENZO,TURCO,male
GIUSEPPE,BOTTA,male
TULLIO,VECCHIETTI,male
CARLO EUGENIO,VENEGONI,male
GIUSEPPE,VERONESI,male
VITTORINO,VILLANI,male
FELICE,VISCHIONI,male
