persona,nome,cognome,gender
http://dati.camera.it/ocd/persona.rdf/p10000,MATTEO,RESCIGNO,male
http://dati.camera.it/ocd/persona.rdf/p1000,PAOLO,BONOMI,male
http://dati.camera.it/ocd/persona.rdf/p10010,MARIO,RICCI,male
http://dati.camera.it/ocd/persona.rdf/p10020,ACHILLE,RIGAMONTI,male
http://dati.camera.it/ocd/persona.rdf/p10030,GIUSEPPE,RIVA,male
http://dati.camera.it/ocd/persona.rdf/p10040,ERCOLE,ROCCHETTI,male
http://dati.camera.it/ocd/persona.rdf/p10050,CESARIO,RODI,male
http://dati.camera.it/ocd/persona.rdf/p10060,ARTURO,ROGNONI,male
http://dati.camera.it/ocd/persona.rdf/p10070,GIUSEPPE,ROMANATO,male
http://dati.camera.it/ocd/persona.rdf/p10080,BARTOLOMEO,ROMANO,male
http://dati.camera.it/ocd/persona.rdf/p100,GIANFRANCO,ALIVERTI,male
http://dati.camera.it/ocd/persona.rdf/p10100,PAOLO,ROSSI,male
http://dati.camera.it/ocd/persona.rdf/p10110,PAOLO MARIO,ROSSI,male
http://dati.camera.it/ocd/persona.rdf/p10120,ANGELO,RUBINO,male
http://dati.camera.it/ocd/persona.rdf/p10130,CARLO,RUGGIERO,male
http://dati.camera.it/ocd/persona.rdf/p10140,SALVATORE,RUSSO,male
http://dati.camera.it/ocd/persona.rdf/p10160,ARMANDO,SABATINI,male
http://dati.camera.it/ocd/persona.rdf/p10170,DINO,SACCENTI,male
http://dati.camera.it/ocd/persona.rdf/p10190,MARIO,SAGGIN,male
http://dati.camera.it/ocd/persona.rdf/p10200,NICOLA,SALERNO,male
http://dati.camera.it/ocd/persona.rdf/p10210,RAFFAELLO,SALUTARI,male
http://dati.camera.it/ocd/persona.rdf/p10220,UMBERTO,SAMPIETRO,male
http://dati.camera.it/ocd/persona.rdf/p10230,VITO,SANZO,male
http://dati.camera.it/ocd/persona.rdf/p10240,GAETANO,SARDIELLO,male
http://dati.camera.it/ocd/persona.rdf/p10270,CARLO,SCARASCIA MUGNOZZA,male
http://dati.camera.it/ocd/persona.rdf/p10280,VITO,SCARONGELLA,male
http://dati.camera.it/ocd/persona.rdf/p10290,PASQUALE,SCHIANO,male
http://dati.camera.it/ocd/persona.rdf/p10300,GIUSEPPE,SCHIRO',male
http://dati.camera.it/ocd/persona.rdf/p10310,FRANCESCO,SCIAUDONE,male
http://dati.camera.it/ocd/persona.rdf/p10330,RAFFAELE,SCIORILLI BORRELLI,male
http://dati.camera.it/ocd/persona.rdf/p10350,GUIDO,SECRETO,male
http://dati.camera.it/ocd/persona.rdf/p10360,ANTONIO,SENSI,male
http://dati.camera.it/ocd/persona.rdf/p10370,GIOVANNI,SERBANDINI,male
http://dati.camera.it/ocd/persona.rdf/p10380,EMILIO,SERENI,male
http://dati.camera.it/ocd/persona.rdf/p10390,ADRIANO,SERONI,male
http://dati.camera.it/ocd/persona.rdf/p10400,LEONARDANTONIO,SFORZA,male
http://dati.camera.it/ocd/persona.rdf/p1040,FRANCO,BORTOLANI,male
http://dati.camera.it/ocd/persona.rdf/p10410,LUIGI,SILIPO,male
http://dati.camera.it/ocd/persona.rdf/p10420,SECONDO,TRANQUILLI,male
http://dati.camera.it/ocd/persona.rdf/p10440,RENZO,SILVESTRI,male
http://dati.camera.it/ocd/persona.rdf/p10450,GIOVANNI,SODANO,male
http://dati.camera.it/ocd/persona.rdf/p10460,TOMMASO,SORGI,male
http://dati.camera.it/ocd/persona.rdf/p10470,ODO,SPADAZZI,male
http://dati.camera.it/ocd/persona.rdf/p10490,GIUSEPPE,SPECIALE,male
http://dati.camera.it/ocd/persona.rdf/p10510,CARLO,STAGNO D'ALCONTRES,male
http://dati.camera.it/ocd/persona.rdf/p10520,BRUNO,STORTI,male
http://dati.camera.it/ocd/persona.rdf/p10530,ACHILLE,STUANI,male
http://dati.camera.it/ocd/persona.rdf/p10540,GIOVANNI BATTISTA,STUCCHI,male
http://dati.camera.it/ocd/persona.rdf/p10550,EGIDIO,SULOTTO,male
http://dati.camera.it/ocd/persona.rdf/p10560,PAOLO,SURACI,male
http://dati.camera.it/ocd/persona.rdf/p10580,LEONILDO,TAROZZI,male
http://dati.camera.it/ocd/persona.rdf/p10610,MAURO,TOGNONI,male
http://dati.camera.it/ocd/persona.rdf/p10620,ROMANO,TOMMASI,male
http://dati.camera.it/ocd/persona.rdf/p10630,EGIDIO,TOSATO,male
http://dati.camera.it/ocd/persona.rdf/p10640,EMILIO,TRABUCCHI,male
http://dati.camera.it/ocd/persona.rdf/p10650,ROBERTO,TREMELLONI,male
http://dati.camera.it/ocd/persona.rdf/p10660,MARIANO,TROMBETTA,male
http://dati.camera.it/ocd/persona.rdf/p10680,GIUSEPPE,TUDISCO,male
http://dati.camera.it/ocd/persona.rdf/p10690,MICHELE MARIA,TUMMINELLI,male
http://dati.camera.it/ocd/persona.rdf/p10700,VINCENZO,TURCO,male
http://dati.camera.it/ocd/persona.rdf/p1070,GIUSEPPE,BOTTA,male
http://dati.camera.it/ocd/persona.rdf/p10740,TULLIO,VECCHIETTI,male
http://dati.camera.it/ocd/persona.rdf/p10760,CARLO EUGENIO,VENEGONI,male
http://dati.camera.it/ocd/persona.rdf/p10770,GIUSEPPE,VERONESI,male
http://dati.camera.it/ocd/persona.rdf/p10790,VITTORINO,VILLANI,male
http://dati.camera.it/ocd/persona.rdf/p10810,FELICE,VISCHIONI,male
http://dati.camera.it/ocd/persona.rdf/p10820,ARTURO,VIVIANI,male
http://dati.camera.it/ocd/persona.rdf/p10840,RICCARDO,WALTER,male
http://dati.camera.it/ocd/persona.rdf/p10850,FULVIO,ZAMPONI,male
