nome,cognome,gender,legislatura
MATTEO,RESCIGNO,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
PAOLO,BONOMI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
CESARIO,RODI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
ARTURO,ROGNONI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
PAOLO,ROSSI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
CARLO,RUGGIERO,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
DINO,SACCENTI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
MARIO,SAGGIN,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
NICOLA,SALERNO,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
UMBERTO,SAMPIETRO,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
GAETANO,SARDIELLO,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
EMILIO,SERENI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
LUIGI,SILIPO,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
SECONDO,TRANQUILLI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
EGIDIO,TOSATO,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
ROBERTO,TREMELLONI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
MICHELE MARIA,TUMMINELLI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
FELICE,VISCHIONI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
TOMMASO,ZERBI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
MICHELANGELO,TRIMARCHI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
ALDO,BOZZI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
FAUSTO,GULLO,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
FRANCESCO,DE VITA,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
ERNESTO,CARPANO MAGLIOLI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
LODOVICO SFORZA,BENVENUTI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
GUIDO,CORTESE,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
PAOLO,CAPPA,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
GUSTAVO,COLONNETTI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
LUIGI,BATTISTI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
EDOARDO,D'ONOFRIO,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
VITO,MONTERISI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
CARLO,FARINI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
CARMINE,DE MARTINO,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
ANTONINO,VARVARO,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
MARIO,RODINO' DI MIGLIONE,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
DANTE,BERNAMONTI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
EUGENIO,DUGONI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
FILIPPO,GUERRIERI,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
CORNELIO,FIETTA,male,http://dati.camera.it/ocd/legislatura.rdf/costituente
