d,nome,cognome,legislatura,gender
http://dati.camera.it/ocd/deputato.rdf/d10000_0,MATTEO,RESCIGNO,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d1000_0,PAOLO,BONOMI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10050_0,CESARIO,RODI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10060_0,ARTURO,ROGNONI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10100_0,PAOLO,ROSSI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10130_0,CARLO,RUGGIERO,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10170_0,DINO,SACCENTI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10190_0,MARIO,SAGGIN,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10200_0,NICOLA,SALERNO,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10220_0,UMBERTO,SAMPIETRO,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10240_0,GAETANO,SARDIELLO,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10380_0,EMILIO,SERENI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10410_0,LUIGI,SILIPO,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10420_0,SECONDO,TRANQUILLI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10630_0,EGIDIO,TOSATO,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10650_0,ROBERTO,TREMELLONI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10690_0,MICHELE MARIA,TUMMINELLI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10810_0,FELICE,VISCHIONI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
